"invariant_id","family","statement","status"
"F2-AGR-001","AGREEMENT","Agreement is actor-, proposition-, proposal-, time-, and protocol-relative.","LOCKED"
"F2-AGR-002","AGREEMENT","Agreement does not imply authority.","LOCKED"
"F2-AGR-003","AGREEMENT","Agreement completeness does not imply consensus.","LOCKED"
"F2-COM-001","COMMITMENT","Commitment does not imply authority.","LOCKED"
"F2-COM-002","COMMITMENT","Commitment completeness does not imply execution.","LOCKED"
"F2-COM-003","COMMITMENT","Revocation of commitment is not financial reversal.","LOCKED"
"F2-COM-004","COMMITMENT","Historical commitment existence survives later invalidity.","LOCKED"
"F2-CON-001","CONSENSUS","Consensus is profile-relative.","LOCKED"
"F2-CON-002","CONSENSUS","Consensus does not imply authority completeness.","LOCKED"
"F2-CON-003","CONSENSUS","Authority completeness does not imply consensus.","LOCKED"
"F2-CON-004","CONSENSUS","Consensus does not imply admissibility.","LOCKED"
"F2-CON-005","CONSENSUS","Consensus does not imply execution.","LOCKED"
"F2-CON-006","CONSENSUS","Consensus does not imply settlement finality.","LOCKED"
"F2-CON-007","CONSENSUS","Consensus indeterminate is distinct from consensus not achieved.","LOCKED"
"F2-SEP-002","SEPARATION","Agreement != Commitment != Consensus != Authority != Admissibility != Execution != Finality.","LOCKED"
