"invariant_id","proof_id","relation","status"
"FIN-OBJ-001","FIN-PO-001","PRIMARY","OPEN"
"FIN-OBJ-002","FIN-PO-002","PRIMARY","OPEN"
"FIN-OBJ-003","FIN-PO-003","PRIMARY","OPEN"
"FIN-OBJ-004","FIN-PO-004","PRIMARY","OPEN"
"FIN-AUTH-001","FIN-PO-005","PRIMARY","OPEN"
"FIN-AUTH-002","FIN-PO-006","PRIMARY","OPEN"
"FIN-AUTH-003","FIN-PO-007","PRIMARY","OPEN"
"FIN-AUTH-004","FIN-PO-008","PRIMARY","OPEN"
"FIN-ADM-001","FIN-PO-009","PRIMARY","OPEN"
"FIN-ADM-002","FIN-PO-010","PRIMARY","OPEN"
"FIN-ADM-003","FIN-PO-011","PRIMARY","OPEN"
"FIN-ADM-004","FIN-PO-012","PRIMARY","OPEN"
"FIN-EFF-001","FIN-PO-013","PRIMARY","OPEN"
"FIN-EFF-002","FIN-PO-014","PRIMARY","OPEN"
"FIN-EFF-003","FIN-PO-015","PRIMARY","OPEN"
"FIN-EFF-004","FIN-PO-016","PRIMARY","OPEN"
"FIN-SET-001","FIN-PO-017","PRIMARY","OPEN"
"FIN-SET-002","FIN-PO-018","PRIMARY","OPEN"
"FIN-SET-003","FIN-PO-019","PRIMARY","OPEN"
"FIN-SET-004","FIN-PO-020","PRIMARY","OPEN"
"FIN-CMP-001","FIN-PO-021","PRIMARY","OPEN"
"FIN-CMP-002","FIN-PO-022","PRIMARY","OPEN"
"FIN-CMP-003","FIN-PO-023","PRIMARY","OPEN"
"FIN-CMP-004","FIN-PO-024","PRIMARY","OPEN"
"FIN-REV-001","FIN-PO-025","PRIMARY","OPEN"
"FIN-REV-002","FIN-PO-026","PRIMARY","OPEN"
"FIN-REV-003","FIN-PO-027","PRIMARY","OPEN"
"FIN-REV-004","FIN-PO-028","PRIMARY","OPEN"
"FIN-REC-001","FIN-PO-029","PRIMARY","OPEN"
"FIN-REC-002","FIN-PO-030","PRIMARY","OPEN"
"FIN-REC-003","FIN-PO-031","PRIMARY","OPEN"
"FIN-REC-004","FIN-PO-032","PRIMARY","OPEN"
"FIN-FIN-001","FIN-PO-033","PRIMARY","OPEN"
"FIN-FIN-002","FIN-PO-034","PRIMARY","OPEN"
"FIN-FIN-003","FIN-PO-035","PRIMARY","OPEN"
"FIN-FIN-004","FIN-PO-036","PRIMARY","OPEN"
"FIN-CNT-001","FIN-PO-037","PRIMARY","OPEN"
"FIN-CNT-002","FIN-PO-038","PRIMARY","OPEN"
"FIN-CNT-003","FIN-PO-039","PRIMARY","OPEN"
"FIN-CNT-004","FIN-PO-040","PRIMARY","OPEN"
"FIN-EVD-001","FIN-PO-041","PRIMARY","OPEN"
"FIN-EVD-002","FIN-PO-042","PRIMARY","OPEN"
"FIN-EVD-003","FIN-PO-043","PRIMARY","OPEN"
"FIN-EVD-004","FIN-PO-044","PRIMARY","OPEN"
"FIN-DST-001","FIN-PO-045","PRIMARY","OPEN"
"FIN-DST-002","FIN-PO-046","PRIMARY","OPEN"
"FIN-DST-003","FIN-PO-047","PRIMARY","OPEN"
"FIN-DST-004","FIN-PO-048","PRIMARY","OPEN"
"FIN-JUR-001","FIN-PO-049","PRIMARY","OPEN"
"FIN-JUR-002","FIN-PO-050","PRIMARY","OPEN"
"FIN-JUR-003","FIN-PO-051","PRIMARY","OPEN"
"FIN-JUR-004","FIN-PO-052","PRIMARY","OPEN"
"FIN-AGT-001","FIN-PO-053","PRIMARY","OPEN"
"FIN-AGT-002","FIN-PO-054","PRIMARY","OPEN"
"FIN-AGT-003","FIN-PO-055","PRIMARY","OPEN"
"FIN-AGT-004","FIN-PO-056","PRIMARY","OPEN"
"FIN-AUTH-003","FIN-PO-X001","SECONDARY","OPEN"
"FIN-EFF-002","FIN-PO-X002","SECONDARY","OPEN"
"FIN-CMP-002","FIN-PO-X003","SECONDARY","OPEN"
"FIN-OBJ-003","FIN-PO-X004","SECONDARY","OPEN"
"FIN-DST-002","FIN-PO-X005","SECONDARY","OPEN"
"FIN-OBJ-002","FIN-PO-X006","SECONDARY","OPEN"
"FIN-CNT-003","FIN-PO-X007","SECONDARY","OPEN"
"FIN-ADM-003","FIN-PO-X008","SECONDARY","OPEN"
