"claim_id","inherited_invariant_id","inherited_proof_obligation","inherited_discharge_state","relation"
"F1-DEF-001","FIN-EFF-001","PO-FIN-EFF-001","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-DEF-001","FIN-EFF-002","PO-FIN-EFF-002","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-LEM-001","FIN-EFF-001","PO-FIN-EFF-001","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-001","FIN-CMP-002","PO-FIN-CMP-002","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-001","FIN-CMP-003","PO-FIN-CMP-003","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-001","FIN-AUTH-001","PO-FIN-AUTH-001","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-002","FIN-REV-002","PO-FIN-REV-002","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-002","FIN-REV-003","PO-FIN-REV-003","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-002","FIN-AUTH-001","PO-FIN-AUTH-001","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-003","FIN-CMP-004","PO-FIN-CMP-004","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-003","FIN-EFF-004","PO-FIN-EFF-004","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-003","FIN-REC-003","PO-FIN-REC-003","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-004","FIN-REV-004","PO-FIN-REV-004","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-004","FIN-REV-005","PO-FIN-REV-005","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-005","FIN-REC-001","PO-FIN-REC-001","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-005","FIN-CON-002","PO-FIN-CON-002","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-006","FIN-REC-003","PO-FIN-REC-003","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-006","FIN-CON-003","PO-FIN-CON-003","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-006","FIN-CON-004","PO-FIN-CON-004","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-007","FIN-CMP-003","PO-FIN-CMP-003","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-007","FIN-REV-003","PO-FIN-REV-003","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-007","FIN-EXE-001","PO-FIN-EXE-001","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-LEM-002","FIN-AUTH-002","PO-FIN-AUTH-002","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-LEM-002","FIN-AUTH-005","PO-FIN-AUTH-005","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-LEM-002","FIN-CMP-003","PO-FIN-CMP-003","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-LEM-002","FIN-REV-003","PO-FIN-REV-003","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-008","FIN-REV-005","PO-FIN-REV-005","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-008","FIN-REC-003","PO-FIN-REC-003","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-008","FIN-CON-004","PO-FIN-CON-004","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-009","FIN-CON-004","PO-FIN-CON-004","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-009","FIN-REC-001","PO-FIN-REC-001","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-010","FIN-CMP-004","PO-FIN-CMP-004","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-010","FIN-REV-004","PO-FIN-REV-004","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-THM-010","FIN-EVD-004","PO-FIN-EVD-004","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-SAF-001","FIN-EFF-005","PO-FIN-EFF-005","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-SAF-002","FIN-EFF-003","PO-FIN-EFF-003","OPEN","SPECIALIZES_OR_DEPENDS_ON"
"F1-SAF-003","FIN-CON-004","PO-FIN-CON-004","OPEN","SPECIALIZES_OR_DEPENDS_ON"
