"manuscript_surface","source_pass","claim_class","included"
"Participant / authority distinction","FIN-F2-02","FORMAL-DEFINITION","YES"
"Agreement / commitment / consensus distinction","FIN-F2-03","FORMAL-DEFINITION","YES"
"Distributed admissibility","FIN-F2-04","FORMAL-DEFINITION","YES"
"Execution-leg composition","FIN-F2-04","FORMAL-DEFINITION","YES"
"Atomicity / distributed partial effect","FIN-F2-05","FORMAL-DEFINITION","YES"
"Settlement finality","FIN-F2-06","FORMAL-DEFINITION","YES"
"Conflict / fork / reconciliation","FIN-F2-07","FORMAL-DEFINITION","YES"
"Distributed continuity","FIN-F2-08","FORMAL-DEFINITION","YES"
"Positive theorem discharge","FIN-F2-09","FORMALLY-PROVED","YES"
"Non-implication discharge","FIN-F2-09","COUNTEREXAMPLE-DISCHARGED","YES"
"Reference runtime","FIN-F2-10","REFERENCE-RUNTIME-CONFORMANT","YES"
"Adversarial runtime verification","FIN-F2-11","REFERENCE-RUNTIME-CONFORMANT","YES"
