"proof_obligation_id","invariant_id","family","f1_ownership","current_state","f1_target_state"
"PO-FIN-AUTH-001","FIN-AUTH-001","FIN-AUTH","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-AUTH-002","FIN-AUTH-002","FIN-AUTH","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-AUTH-003","FIN-AUTH-003","FIN-AUTH","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-AUTH-004","FIN-AUTH-004","FIN-AUTH","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-AUTH-005","FIN-AUTH-005","FIN-AUTH","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-ADM-001","FIN-ADM-001","FIN-ADM","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-ADM-002","FIN-ADM-002","FIN-ADM","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-ADM-003","FIN-ADM-003","FIN-ADM","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-ADM-004","FIN-ADM-004","FIN-ADM","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-ADM-005","FIN-ADM-005","FIN-ADM","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-EXE-001","FIN-EXE-001","FIN-EXE","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-EXE-002","FIN-EXE-002","FIN-EXE","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-EXE-003","FIN-EXE-003","FIN-EXE","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-EXE-004","FIN-EXE-004","FIN-EXE","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-EXE-005","FIN-EXE-005","FIN-EXE","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-EFF-001","FIN-EFF-001","FIN-EFF","F1_PRIMARY","OPEN","TO_BE_DETERMINED"
"PO-FIN-EFF-002","FIN-EFF-002","FIN-EFF","F1_PRIMARY","OPEN","TO_BE_DETERMINED"
"PO-FIN-EFF-003","FIN-EFF-003","FIN-EFF","F1_PRIMARY","OPEN","TO_BE_DETERMINED"
"PO-FIN-EFF-004","FIN-EFF-004","FIN-EFF","F1_PRIMARY","OPEN","TO_BE_DETERMINED"
"PO-FIN-EFF-005","FIN-EFF-005","FIN-EFF","F1_PRIMARY","OPEN","TO_BE_DETERMINED"
"PO-FIN-SET-001","FIN-SET-001","FIN-SET","F1_PRIMARY_WITH_UES_INHERITANCE","OPEN","TO_BE_DETERMINED"
"PO-FIN-SET-002","FIN-SET-002","FIN-SET","F1_PRIMARY_WITH_UES_INHERITANCE","OPEN","TO_BE_DETERMINED"
"PO-FIN-SET-003","FIN-SET-003","FIN-SET","F1_PRIMARY_WITH_UES_INHERITANCE","OPEN","TO_BE_DETERMINED"
"PO-FIN-SET-004","FIN-SET-004","FIN-SET","F1_PRIMARY_WITH_UES_INHERITANCE","OPEN","TO_BE_DETERMINED"
"PO-FIN-SET-005","FIN-SET-005","FIN-SET","F1_PRIMARY_WITH_UES_INHERITANCE","OPEN","TO_BE_DETERMINED"
"PO-FIN-CMP-001","FIN-CMP-001","FIN-CMP","F1_PRIMARY","OPEN","TO_BE_DETERMINED"
"PO-FIN-CMP-002","FIN-CMP-002","FIN-CMP","F1_PRIMARY","OPEN","TO_BE_DETERMINED"
"PO-FIN-CMP-003","FIN-CMP-003","FIN-CMP","F1_PRIMARY","OPEN","TO_BE_DETERMINED"
"PO-FIN-CMP-004","FIN-CMP-004","FIN-CMP","F1_PRIMARY","OPEN","TO_BE_DETERMINED"
"PO-FIN-CMP-005","FIN-CMP-005","FIN-CMP","F1_PRIMARY","OPEN","TO_BE_DETERMINED"
"PO-FIN-REV-001","FIN-REV-001","FIN-REV","F1_PRIMARY","OPEN","TO_BE_DETERMINED"
"PO-FIN-REV-002","FIN-REV-002","FIN-REV","F1_PRIMARY","OPEN","TO_BE_DETERMINED"
"PO-FIN-REV-003","FIN-REV-003","FIN-REV","F1_PRIMARY","OPEN","TO_BE_DETERMINED"
"PO-FIN-REV-004","FIN-REV-004","FIN-REV","F1_PRIMARY","OPEN","TO_BE_DETERMINED"
"PO-FIN-REV-005","FIN-REV-005","FIN-REV","F1_PRIMARY","OPEN","TO_BE_DETERMINED"
"PO-FIN-REC-001","FIN-REC-001","FIN-REC","F1_SHARED_WITH_F3","OPEN","TO_BE_DETERMINED"
"PO-FIN-REC-002","FIN-REC-002","FIN-REC","F1_SHARED_WITH_F3","OPEN","TO_BE_DETERMINED"
"PO-FIN-REC-003","FIN-REC-003","FIN-REC","F1_SHARED_WITH_F3","OPEN","TO_BE_DETERMINED"
"PO-FIN-REC-004","FIN-REC-004","FIN-REC","F1_SHARED_WITH_F3","OPEN","TO_BE_DETERMINED"
"PO-FIN-REC-005","FIN-REC-005","FIN-REC","F1_SHARED_WITH_F3","OPEN","TO_BE_DETERMINED"
"PO-FIN-EVD-001","FIN-EVD-001","FIN-EVD","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-EVD-002","FIN-EVD-002","FIN-EVD","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
"PO-FIN-EVD-003","FIN-EVD-003","FIN-EVD","F1_INHERITED_CONSTRAINT","OPEN","TO_BE_DETERMINED"
