"case_id","scenario","evidence","obligations","dependencies","expected"
"F1-REC-C001","Compensation completes and balances match pre-origin values, but original and compensation executions remain in history","COMPLETE","CONSISTENT","RESOLVED","RECONCILED-NOT-HISTORICALLY-RESTORED"
"F1-REC-C002","Reversal completes but one downstream obligation remains outstanding","COMPLETE","INCONSISTENT","RESOLVED","RECONCILIATION-FAILED"
"F1-REC-C003","Partial settlement with unresolved counterparty commitment","PARTIAL","UNRESOLVED","PENDING","RECONCILIATION-INDETERMINATE"
"F1-REC-C004","Evidence sources materially conflict on whether an external transfer committed","CONFLICTING","UNKNOWN","CONFLICTING","RECONCILIATION-FAILED"
"F1-REC-C005","No adverse effect is observed but non-occurrence cannot be established","INSUFFICIENT","UNKNOWN","UNRESOLVED","RECONCILIATION-INDETERMINATE"
"F1-REC-C006","Terminal balances agree but custody state differs from pre-origin state","COMPLETE","CONSISTENT","RESOLVED","RECONCILED-DIFFERENT-STATE"
"F1-REC-C007","Two candidate current states remain equally compatible with available evidence","AMBIGUOUS","CONSISTENT","RESOLVED","RECONCILIATION-INDETERMINATE"
"F1-REC-C008","Unauthorized original execution is fully evidenced and current state is determinately known","COMPLETE","CONSISTENT","RESOLVED","RECONCILED-BUT-NOT-LEGITIMIZED"
"F1-REC-C009","Compensation partially executes and later evidence establishes exact surviving resource and obligation state","COMPLETE","CONSISTENT","RESOLVED","RECONCILED-PARTIAL-REPAIR-STATE"
"F1-REC-C010","All financial values match expected values but required execution provenance is missing","PROVENANCE-FAIL","CONSISTENT","RESOLVED","RECONCILIATION-FAILED"
