"component_id","name","family","responsibility","primary_inputs","primary_outputs","inherited_dependency","first_family"
"FI-CORE-001","Financial Event Canonicalizer","CORE","Construct the canonical FinancialExecutionEvent from admissible source inputs without assigning execution authority.","FinancialExecutionEvent source material","Canonical FinancialExecutionEvent","UAA;UES;DEI","FOUNDATION"
"FI-CORE-002","Authority Binding Resolver","CORE","Resolve and bind upstream authority references to the specific financial execution event, scope, principal, and execution context.","FinancialExecutionEvent;AuthorityReference;Principal","Resolved authority binding","UAA;EIP","FOUNDATION"
"FI-CORE-003","Current Admissibility Evaluator","CORE","Evaluate whether current authority, policy, resource, dependency, jurisdiction, and execution state satisfy the admission requirements at a consequential boundary.","FinancialExecutionEvent;EconomicState;AuthorityReference","ADMIT;BLOCK;INDETERMINATE","UAA;AOMS;DEI","FOUNDATION"
"FI-CORE-004","Consequential Boundary Controller","CORE","Prevent financially consequential effectuation unless current admission has been established.","ExecutionAttempt;admissibility decision","Effectuation permit or governed block","UAA;UES;runtime-enforcement-surface","FOUNDATION"
"FI-EFF-001","Effect Outcome Classifier","EFFECTUATION","Classify execution outcome as NO-EFFECT, PARTIAL, COMPLETED, or INDETERMINATE.","ExecutionAttempt;before state;after state;evidence","Effect classification","DEI;FIN-ARCH-04","F1"
"FI-EFF-002","Partial-Effect Detector","EFFECTUATION","Detect whether only a strict subset of the intended economic effect has occurred.","Expected effect;observed effect;state delta","PartialEffect determination","FIN-ARCH-04","F1"
"FI-SET-001","Settlement State Controller","SETTLEMENT","Maintain canonical settlement lifecycle state without collapsing partial, completed, reconciled, final, or indeterminate outcomes.","SettlementObject;execution evidence;effect classification","SettlementState","UES;DEI","F1"
"FI-CMP-001","Compensation Requirement Assessor","COMPENSATION","Determine whether compensation is structurally required without granting compensation authority.","PartialEffect;EconomicState;SettlementObject","COMPENSATION-REQUIRED or no compensation determination","FIN-ARCH-04","F1"
"FI-CMP-002","Compensation Admission Controller","COMPENSATION","Require independent authority and current admissibility for every CompensationInstruction.","CompensationInstruction;AuthorityReference;EconomicState","Compensation ADMIT;BLOCK;INDETERMINATE","UAA;AOMS","F1"
"FI-REV-001","Reversal Eligibility Assessor","REVERSAL","Determine whether a reversal mechanism structurally exists without granting reversal authority.","SettlementObject;EconomicState;effect history","REVERSAL-ELIGIBLE or not eligible","FIN-ARCH-04","F1"
