"state_id","state","meaning"
"F1-CMP-S001","COMPENSATION-NEED-UNASSESSED","No compensation requirement determination has yet been made"
"F1-CMP-S002","COMPENSATION-NOT-REQUIRED","Current assessment does not require compensation"
"F1-CMP-S003","COMPENSATION-REQUIRED","Compensation is structurally required or indicated; no authority implied"
"F1-CMP-S004","COMPENSATION-PROPOSED","Distinct compensation execution event has been instantiated"
"F1-CMP-S005","COMPENSATION-AUTHORIZED","Current authority exists for the compensation event"
"F1-CMP-S006","COMPENSATION-ADMITTED","Current compensation execution is admissible"
"F1-CMP-S007","COMPENSATING","Compensation execution has crossed the consequential effectuation boundary"
"F1-CMP-S008","COMPENSATION-NO-EFFECT","Compensation execution produced no recognized economic effect"
"F1-CMP-S009","COMPENSATION-PARTIAL","Compensation execution produced only a strict subset of its intended effect"
"F1-CMP-S010","COMPENSATION-COMPLETED","Compensation execution completed its intended economic effect"
"F1-CMP-S011","COMPENSATION-INDETERMINATE","Compensation effect cannot yet be determinately classified"
