"check_id","severity","category","subject","finding","required_action"
"XL-ID-001","INFO","IDENTITY","All registries","No duplicate canonical IDs detected.",""
"XL-TRN-001","INFO","TRANSITION","All transitions","All transition endpoints resolve to canonical states.",""
"XL-PRF-001","INFO","PROOF","All invariants","Every invariant maps to at least one proof obligation.",""
"XL-CMP-001","INFO","COMPONENT","All proofs","Every proof obligation has component responsibility.",""
"XL-IF-001","INFO","INTERFACE","All components","Every canonical component exposes at least one interface.",""
"XL-IF-002","INFO","INTERFACE","All interfaces","Every interface provider resolves to a canonical component.",""
"XL-SEM-001","INFO","SEMANTICS","Critical state set","Required financial states remain separately represented.",""
"XL-BND-002","WARNING","BOUNDARY","Cross-component effectuation routing","No textual bypass detected. Full call-graph enforcement cannot be mechanically proven before runtime implementation exists.","FIN-F1/runtime passes must verify all consequential mutations traverse the canonical boundary controller."
"XL-OWN-001","INFO","OWNERSHIP","Component ownership","All components have primary family ownership.",""
"XL-OWN-002","INFO","OWNERSHIP","Component ownership uniqueness","No component has multiple primary family owners.",""
"XL-INV-001","INFO","INVARIANT","Critical invariant set","All required critical invariants exist exactly once.",""
"XL-TRN-002","INFO","TRANSITION","Transition responsibility","Every transition class resolves to at least one canonical responsible component.",""
"XL-SRF-001","INFO","SURFACE","Invariant families","Every invariant family resolves to a canonical object/state surface.",""
"XL-OBS-001","WARNING","OBSERVABILITY","Proof/component observability","All assigned components have declared I/O surfaces. Full proof-specific observability cannot be established until executable schemas and runtime traces exist.","Re-test proof observability during F1-F8 implementation and verification."
