"transition_id","from","to","authority_required"
"F1-CMP-T001","COMPENSATION-NEED-UNASSESSED","COMPENSATION-NOT-REQUIRED","NO"
"F1-CMP-T002","COMPENSATION-NEED-UNASSESSED","COMPENSATION-REQUIRED","NO"
"F1-CMP-T003","COMPENSATION-REQUIRED","COMPENSATION-PROPOSED","NO"
"F1-CMP-T004","COMPENSATION-PROPOSED","COMPENSATION-AUTHORIZED","YES"
"F1-CMP-T005","COMPENSATION-AUTHORIZED","COMPENSATION-ADMITTED","YES"
"F1-CMP-T006","COMPENSATION-ADMITTED","COMPENSATING","YES"
"F1-CMP-T007","COMPENSATING","COMPENSATION-NO-EFFECT","N/A"
"F1-CMP-T008","COMPENSATING","COMPENSATION-PARTIAL","N/A"
"F1-CMP-T009","COMPENSATING","COMPENSATION-COMPLETED","N/A"
"F1-CMP-T010","COMPENSATING","COMPENSATION-INDETERMINATE","N/A"
