"id","antecedent","consequent","relation","status"
"F2-AUTH-NI-001","Participant(a,q,t)","Authority(a,q,x,s,t)","DOES-NOT-IMPLY","LOCKED-F2-02"
"F2-AUTH-NI-002","RequiredParticipant(a,q,t)","Authority(a,q,x,s,t)","DOES-NOT-IMPLY","LOCKED-F2-02"
"F2-AUTH-NI-003","Validator(a,q,t)","Authority(a,q,x,s,t)","DOES-NOT-IMPLY","LOCKED-F2-02"
"F2-AUTH-NI-004","SignatureValid(a,q,t)","Authority(a,q,x,s,t)","DOES-NOT-IMPLY","LOCKED-F2-02"
"F2-AUTH-NI-005","KeyPossession(a,k,t)","Authority(a,q,x,s,t)","DOES-NOT-IMPLY","LOCKED-F2-02"
"F2-AUTH-NI-006","Quorum(q,t)","AuthorityComplete(q,t)","DOES-NOT-IMPLY","LOCKED-F2-02"
"F2-AUTH-NI-007","Consensus(q,t)","AuthorityComplete(q,t)","DOES-NOT-IMPLY","LOCKED-F2-02"
"F2-AUTH-NI-008","AuthorityComplete(q,t)","Consensus(q,t)","DOES-NOT-IMPLY","LOCKED-F2-02"
"F2-AUTH-NI-009","ParticipationComplete(q,t)","AuthorityComplete(q,t)","DOES-NOT-IMPLY","LOCKED-F2-02"
"F2-AUTH-NI-010","AuthorityComplete(q,t)","Admissible(q,t)","DOES-NOT-IMPLY","LOCKED-F2-02"
