"resolution_id","name","class"
"F1-R-001","R_NONE","none"
"F1-R-002","R_CONTAINMENT_REQUIRED","containment"
"F1-R-003","R_CONTAINED","containment"
"F1-R-004","R_COMPENSATION_REQUIRED","compensation"
"F1-R-005","R_COMPENSATION_ADMISSION_PENDING","compensation"
"F1-R-006","R_COMPENSATING","compensation"
"F1-R-007","R_COMPENSATED","compensation"
"F1-R-008","R_REVERSAL_REQUIRED","reversal"
"F1-R-009","R_REVERSAL_ADMISSION_PENDING","reversal"
"F1-R-010","R_REVERSING","reversal"
"F1-R-011","R_REVERSED","reversal"
"F1-R-012","R_REMEDIATION_PARTIAL","recursive-remediation"
"F1-R-013","R_REMEDIATION_FAILED","recursive-remediation"
"F1-R-014","R_REMEDIATION_INDETERMINATE","recursive-remediation"
