"object","owner","f2_treatment"
"effect-classification","F1","INHERIT"
"compensation","F1","INHERIT"
"reversal","F1","INHERIT"
"reconciliation","F1","INHERIT"
"economic-state-continuity","F1","INHERIT"
"ParticipantSet","F2","INTRODUCE"
"RequiredParticipantSet","F2","INTRODUCE"
"AuthoritySet","F2","INTRODUCE-DISTRIBUTED-STRUCTURE"
"AgreementRecord","F2","INTRODUCE"
"ConsensusObservation","F2","INTRODUCE"
"ConsensusCertificate","F2","INTRODUCE"
"CommitmentSet","F2","INTRODUCE"
"ExecutionLeg","F2","INTRODUCE"
"ExecutionLegSet","F2","INTRODUCE"
"AtomicityRequirement","F2","INTRODUCE"
"OrderingConstraint","F2","INTRODUCE"
"DistributedExecutionTrace","F2","INTRODUCE"
"DistributedEvidenceSet","F2","INTRODUCE"
"FinalityClaim","F2","INTRODUCE"
"FinalityProfile","F2","INTRODUCE"
"FinalityClassification","F2","INTRODUCE"
"ConflictRecord","F2","INTRODUCE"
