"state_id","name","family","terminal"
"FIN-S-001","PROPOSED","pre-execution","NO"
"FIN-S-002","AUTHORIZED","pre-execution","NO"
"FIN-S-003","ADMITTED","pre-execution","NO"
"FIN-S-004","EXECUTING","execution","NO"
"FIN-S-005","NO-EFFECT","effect","CONDITIONAL"
"FIN-S-006","PARTIAL","effect","NO"
"FIN-S-007","COMPLETED","effect","NO"
"FIN-S-008","INDETERMINATE","effect","NO"
"FIN-S-009","CONTAINMENT-REQUIRED","containment","NO"
"FIN-S-010","CONTAINED","containment","NO"
"FIN-S-011","COMPENSATION-REQUIRED","compensation","NO"
"FIN-S-012","COMPENSATION-PROPOSED","compensation","NO"
"FIN-S-013","COMPENSATION-AUTHORIZED","compensation","NO"
"FIN-S-014","COMPENSATION-ADMITTED","compensation","NO"
"FIN-S-015","COMPENSATING","compensation","NO"
"FIN-S-016","COMPENSATED","compensation","NO"
"FIN-S-017","REVERSAL-ELIGIBLE","reversal","NO"
"FIN-S-018","REVERSAL-PROPOSED","reversal","NO"
"FIN-S-019","REVERSAL-AUTHORIZED","reversal","NO"
"FIN-S-020","REVERSAL-ADMITTED","reversal","NO"
"FIN-S-021","REVERSING","reversal","NO"
"FIN-S-022","REVERSED","reversal","NO"
"FIN-S-023","RECONCILIATION-REQUIRED","reconciliation","NO"
"FIN-S-024","RECONCILING","reconciliation","NO"
"FIN-S-025","RECONCILED","reconciliation","NO"
"FIN-S-026","RECONCILIATION-FAILED","reconciliation","CONDITIONAL"
"FIN-S-027","FINALITY-UNCLASSIFIED","finality","NO"
"FIN-S-028","PROVISIONAL","finality","CONDITIONAL"
"FIN-S-029","FINAL","finality","CONDITIONAL"
"FIN-S-030","REVERSIBLE","finality","CONDITIONAL"
"FIN-S-031","IRREVERSIBLE","finality","CONDITIONAL"
"FIN-S-032","CONTINUITY-UNCLASSIFIED","continuity","NO"
"FIN-S-033","CONTINUITY-PRESERVED","continuity","YES"
"FIN-S-034","CONTINUITY-DEGRADED","continuity","YES"
"FIN-S-035","CONTINUITY-BROKEN","continuity","YES"
"FIN-S-036","CONTINUITY-RECONSTRUCTED","continuity","YES"
"FIN-S-037","CONTINUITY-INDETERMINATE","continuity","YES"
