"check_id","category","severity","status","description","evidence"
"FIN-XLOCK-001","object-state","NONE","PASS","Required object/state vocabulary is jointly present.","All required cross-domain object/state anchors found."
"FIN-XLOCK-002","state-transition","NONE","PASS","Every transition references registered states.","36 transitions checked."
"FIN-XLOCK-003","state-transition","NONE","PASS","No unexpected orphan lifecycle states detected.","All registered states participate in the transition architecture."
"FIN-XLOCK-004","invariants","NONE","PASS","Every invariant resolves to a registered invariant family.","70 invariants checked."
"FIN-XLOCK-005","proof-coverage","NONE","PASS","Every canonical invariant has proof-obligation coverage.","70 invariants -> 70 baseline proof obligations."
"FIN-XLOCK-006","proof-coverage","NONE","PASS","No orphan proof obligations detected.","70 proof obligations checked."
"FIN-XLOCK-007","proof-status","NONE","PASS","No premature proof or discharge claims detected.","All baseline proof obligations remain OPEN."
"FIN-XLOCK-008","components","NONE","PASS","Canonical component identities are unique.","34 components checked."
"FIN-XLOCK-009","state-ownership","NONE","PASS","Every registered mutable state domain has one known canonical writer.","18 state domains checked."
"FIN-XLOCK-010","authority","NONE","PASS","No financial component claims generic authority-creation power.","34 component authority flags checked."
"FIN-XLOCK-011","admission","NONE","PASS","Canonical execution/remediation paths contain explicit admission/control components.","Required admission/controller set present."
"FIN-XLOCK-014","authority-collapse","NONE","PASS","Evidence surfaces cannot create authority.","Evidence and POB components inspected."
"FIN-XLOCK-022","interfaces","NONE","PASS","Every canonical interface has a registered producer.","32 interfaces checked."
"FIN-XLOCK-023","interfaces","NONE","PASS","Every explicitly identified component consumer resolves to a registered component.","Explicit FIN-COMP consumer references checked."
"FIN-XLOCK-025","interfaces","NONE","PASS","No producer-less or consumer-less canonical interfaces detected.","32 interfaces checked."
"FIN-XLOCK-026","ownership","NONE","PASS","No duplicate canonical state/dependency ownership detected.","State domains and dependency IDs unique."
"FIN-XLOCK-027","publication-ownership","NONE","PASS","No invariant has uncontrolled multi-paper first ownership.","Cross-paper dependencies remain explicit."
"FIN-XLOCK-028","non-equivalence","NONE","PASS","Critical non-equivalence rules remain explicit.","10 required non-equivalence relations present."
"FIN-XLOCK-029","authority","NONE","PASS","Forbidden authority relationship registry retains expected coverage.","14 rules present."
"FIN-XLOCK-030","architecture-counts","NONE","PASS","All canonical architecture counts match the pre-audit baseline.","30 objects; 20 states; 36 transitions; 14 families; 70 invariants; 70 POs; 34 components; 32 interfaces."
"FIN-XLOCK-031","semantic-collapse","NONE","PASS","No direct prohibited semantic-collapse phrases detected in canonical core Markdown.","96 files scanned."
"FIN-XLOCK-032","responsibility","NONE","PASS","Every invariant family has an explicit runtime component responsibility surface.","14 invariant families mapped to canonical components."
"FIN-XLOCK-033","transition-invariant","NONE","PASS","Every structural transition class maps to an invariant family.","admission; authorization; classification; compensation; containment; effect; exception; execution; interruption; reconciliation; resolution; reversal"
