"state_domain","owner_component","multiple_writers"
"Execution lifecycle","FIN-COMP-003","NO"
"Effect classification","FIN-COMP-005","NO"
"Settlement state","FIN-COMP-007","NO"
"Containment/control state","FIN-COMP-008","NO"
"Compensation lifecycle","FIN-COMP-011","NO"
"Reversal lifecycle","FIN-COMP-014","NO"
"Reconciliation state","FIN-COMP-015","NO"
"Historical reconstruction state","FIN-COMP-016","NO"
"Evidence lineage","FIN-COMP-017","NO"
"Finality classification","FIN-COMP-019","NO"
"Continuity classification","FIN-COMP-020","NO"
"Remote observation state","FIN-COMP-022","NO"
"Distributed settlement coordination","FIN-COMP-023","NO"
"Oracle observation state","FIN-COMP-028","NO"
"Jurisdiction observation state","FIN-COMP-029","NO"
"Jurisdiction conflict state","FIN-COMP-030","NO"
"Agent execution observation","FIN-COMP-033","NO"
"Agent execution lifecycle","FIN-COMP-034","NO"
