"component_id","invariant_prefix","role"
"FI-CORE-001","FIN-OBJ","PRESERVE"
"FI-CORE-002","FIN-AUTH","ENFORCE"
"FI-CORE-003","FIN-ADM","ENFORCE"
"FI-CORE-004","FIN-EFF","ENFORCE"
"FI-EFF-001","FIN-EFF","CLASSIFY"
"FI-EFF-002","FIN-EFF","CLASSIFY"
"FI-SET-001","FIN-SET","PRESERVE"
"FI-CMP-001","FIN-CMP","ASSESS"
"FI-CMP-002","FIN-CMP","ENFORCE"
"FI-REV-001","FIN-REV","ASSESS"
"FI-REV-002","FIN-REV","ENFORCE"
"FI-REC-001","FIN-REC","ENFORCE"
"FI-REC-002","FIN-REC","CLASSIFY"
"FI-FIN-001","FIN-FIN","CLASSIFY"
"FI-CNT-001","FIN-CNT","CLASSIFY"
"FI-EVD-001","FIN-EVD","ENFORCE"
"FI-DST-001","FIN-DST","ENFORCE"
"FI-DST-002","FIN-DST","PRESERVE"
"FI-LED-001","FIN-DST","PRESERVE"
"FI-LED-002","FIN-DST","CLASSIFY"
"FI-AST-001","FIN-OBJ","ENFORCE"
"FI-AST-001","FIN-AUTH","PRESERVE"
"FI-PRG-001","FIN-ADM","ENFORCE"
"FI-PRG-002","FIN-EVD","PRESERVE"
"FI-JUR-001","FIN-JUR","CLASSIFY"
"FI-JUR-002","FIN-JUR","ENFORCE"
"FI-AGT-001","FIN-AGT","RESOLVE"
"FI-AGT-002","FIN-AGT","ENFORCE"
"FI-AGT-003","FIN-AGT","ENFORCE"
