"section","primary_source","new_semantics_allowed"
"Abstract","FIN-F1-01 through FIN-F1-09","NO"
"1 Introduction","F1_SCOPE_AND_BOUNDARY.md","NO"
"2 Problem Boundary","F1_FORMAL_BOUNDARY.md","NO"
"3 Post-Effect State Algebra","F1_POST_EFFECT_STATE_ALGEBRA.md","NO"
"4 Partial Settlement","PARTIAL_EFFECT_FORMALIZATION.md","NO"
"5 Compensation","F1_COMPENSATION_ALGEBRA.md","NO"
"6 Reversal","F1_REVERSAL_ALGEBRA.md","NO"
"7 Reconciliation","F1_RECONCILIATION_ALGEBRA.md","NO"
"8 Economic-State Continuity","F1_ECONOMIC_CONTINUITY_ALGEBRA.md","NO"
"9 Formal Results","F1_PROOF_DISCHARGE_REGISTRY.csv","NO"
"10 Reference Runtime","FIN_F1_08_RUNTIME_RESULT.md","NO"
"11 Adversarial Verification","F1_ADVERSARIAL_VERIFICATION_MATRIX.csv","NO"
"12 Discussion","Synthesis of established F1 results","NO"
"13 Limitations","Existing F1 non-claims and runtime limitations","NO"
"14 Conclusion","Synthesis of established F1 results","NO"
