"state_id","state","meaning"
"F1-REV-S001","REVERSAL-NEED-UNASSESSED","No reversal requirement/eligibility determination has been made"
"F1-REV-S002","REVERSAL-NOT-ELIGIBLE","No recognized reversal mechanism applies"
"F1-REV-S003","REVERSAL-ELIGIBLE","A recognized reversal mechanism exists; authority is not implied"
"F1-REV-S004","REVERSAL-NOT-REVERSIBLE","Mechanism exists conceptually but current state no longer supports reversal"
"F1-REV-S005","REVERSAL-REVERSIBLE","Current state structurally supports reversal; authority is not implied"
"F1-REV-S006","REVERSAL-PROPOSED","Distinct reversal execution event has been instantiated"
"F1-REV-S007","REVERSAL-AUTHORIZED","Current authority exists for the reversal event"
"F1-REV-S008","REVERSAL-ADMITTED","Current reversal attempt is admissible"
"F1-REV-S009","REVERSING","Reversal has crossed the consequential effectuation boundary"
"F1-REV-S010","REVERSAL-NO-EFFECT","Reversal execution produced no recognized economic counter-effect"
"F1-REV-S011","REVERSAL-PARTIAL","Reversal execution produced only part of its intended counter-effect"
"F1-REV-S012","REVERSAL-COMPLETED","Reversal completed its intended counter-effect"
"F1-REV-S013","REVERSAL-INDETERMINATE","Reversal effect cannot yet be determinately classified"
