"transition_id","plane","from_state","operation","to_state"
"F1-TR-001","resolution","R_CONTAINMENT_REQUIRED","CONTAIN","R_CONTAINED"
"F1-TR-002","resolution","R_NONE","REQUIRE_COMPENSATION","R_COMPENSATION_REQUIRED"
"F1-TR-003","resolution","R_CONTAINED","REQUIRE_COMPENSATION","R_COMPENSATION_REQUIRED"
"F1-TR-004","resolution","R_COMPENSATION_REQUIRED","ADMIT_COMPENSATION","R_COMPENSATION_ADMISSION_PENDING"
"F1-TR-005","resolution","R_COMPENSATION_ADMISSION_PENDING","EXECUTE_COMPENSATION","R_COMPENSATING"
"F1-TR-006","effect","R_COMPENSATING","OBSERVE_EFFECT","E_COMPENSATING_COMPLETED"
"F1-TR-007","effect","R_COMPENSATING","OBSERVE_EFFECT","E_COMPENSATING_PARTIAL"
"F1-TR-008","resolution","R_COMPENSATING","MARK_INDETERMINATE","R_REMEDIATION_INDETERMINATE"
"F1-TR-009","resolution","R_NONE","REQUIRE_REVERSAL","R_REVERSAL_REQUIRED"
"F1-TR-010","resolution","R_CONTAINED","REQUIRE_REVERSAL","R_REVERSAL_REQUIRED"
"F1-TR-011","resolution","R_REVERSAL_REQUIRED","ADMIT_REVERSAL","R_REVERSAL_ADMISSION_PENDING"
"F1-TR-012","resolution","R_REVERSAL_ADMISSION_PENDING","EXECUTE_REVERSAL","R_REVERSING"
"F1-TR-013","effect","R_REVERSING","OBSERVE_EFFECT","E_REVERSAL_COMPLETED"
"F1-TR-014","effect","R_REVERSING","OBSERVE_EFFECT","E_REVERSAL_PARTIAL"
"F1-TR-015","resolution","R_REVERSING","MARK_INDETERMINATE","R_REMEDIATION_INDETERMINATE"
"F1-TR-016","reconciliation","Q_NOT_REQUIRED","REQUIRE_RECONCILIATION","Q_REQUIRED"
"F1-TR-017","reconciliation","Q_REQUIRED","RECONCILE","Q_PENDING"
"F1-TR-018","reconciliation","Q_PENDING","RECONCILE","Q_IN_PROGRESS"
"F1-TR-019","reconciliation","Q_IN_PROGRESS","RECONCILE","Q_RECONCILED"
"F1-TR-020","reconciliation","Q_IN_PROGRESS","RECONCILE","Q_DIVERGENT"
"F1-TR-021","reconciliation","Q_IN_PROGRESS","MARK_INDETERMINATE","Q_INDETERMINATE"
"F1-TR-022","recursive","E_COMPENSATING_PARTIAL","REQUIRE_COMPENSATION","R_COMPENSATION_REQUIRED"
"F1-TR-023","recursive","E_COMPENSATING_PARTIAL","REQUIRE_REVERSAL","R_REVERSAL_REQUIRED"
"F1-TR-024","recursive","E_REVERSAL_PARTIAL","REQUIRE_COMPENSATION","R_COMPENSATION_REQUIRED"
"F1-TR-025","recursive","E_REVERSAL_PARTIAL","REQUIRE_REVERSAL","R_REVERSAL_REQUIRED"
