"method_id","name","proof_kind","implementation_required"
"F1-PM-001","DEFINITIONAL","Symbolic derivation","NO"
"F1-PM-002","DIRECT_FROM_DEFINITIONS","Direct derivation","NO"
"F1-PM-003","CONSTRUCTIVE_COUNTEREXAMPLE","Existential countermodel","NO_BUT_RUNTIME_CASE_USEFUL"
"F1-PM-004","COUNTEREXAMPLE_PLUS_AUTHORITY_SEPARATION","Countermodel plus inherited invariant argument","NO_BUT_RUNTIME_CASE_USEFUL"
"F1-PM-005","STRUCTURAL_INDUCTION","Induction over remediation history","NO"
"F1-PM-006","STRUCTURAL_INDUCTION_OVER_REMEDIATION_DEPTH","Induction over remediation depth","NO"
"F1-PM-007","DEFINITIONAL_SAFETY_ARGUMENT","Safety derivation from classification semantics","NO"
"F1-PM-008","DIRECT_FROM_CLASSIFICATION_PRECEDENCE","Classification-order proof","NO"
"F1-PM-009","HISTORY_APPEND_ARGUMENT","Historical monotonicity argument","NO"
"F1-PM-010","COUNTEREXAMPLE_PLUS_DELEGATION_SEPARATION","Countermodel plus delegation non-propagation argument","NO_BUT_RUNTIME_CASE_USEFUL"
