"relation_id","name","meaning","equivalent_to_authority"
"FIN-REL-001","Owns","Economic ownership","NO"
"FIN-REL-002","Controls","Operational or technical control","NO"
"FIN-REL-003","Custodies","Custodial possession/control","NO"
"FIN-REL-004","DelegatesTo","Authority delegation relation","NO"
"FIN-REL-005","ActsFor","Agency relation","NO"
"FIN-REL-006","SettlesWith","Settlement relation","NO"
"FIN-REL-007","ClearsThrough","Clearing relation","NO"
"FIN-REL-008","DependsOn","Execution dependency","NO"
"FIN-REL-009","GovernedBy","Governance relation","NO"
"FIN-REL-010","EvidencedBy","Evidence relation","NO"
"FIN-REL-011","Reconstructs","Historical reconstruction relation","NO"
"FIN-REL-012","TransitionsTo","State transition relation","NO"
