"from","to","allowed","historical_rewrite"
"PRESERVED","DEGRADED","YES","NO"
"PRESERVED","BROKEN","YES","NO"
"PRESERVED","INDETERMINATE","YES","NO"
"DEGRADED","PRESERVED","YES-CONDITIONAL","NO"
"DEGRADED","BROKEN","YES","NO"
"DEGRADED","INDETERMINATE","YES","NO"
"BROKEN","RECONSTRUCTED","YES","NO"
"BROKEN","PRESERVED","NO-AS-RETROACTIVE-RELABEL","FORBIDDEN"
"RECONSTRUCTED","PRESERVED","NO-AS-HISTORICAL-ERASURE","FORBIDDEN"
"INDETERMINATE","PRESERVED","YES-WITH-EVIDENCE","NO"
"INDETERMINATE","DEGRADED","YES-WITH-EVIDENCE","NO"
"INDETERMINATE","BROKEN","YES-WITH-EVIDENCE","NO"
"INDETERMINATE","RECONSTRUCTED","YES-WITH-EVIDENCE","NO"
