"check_id","severity","category","subject","finding","required_action"
"XL-OWN-BANK-002","INFO","OWNERSHIP","Nested CIGCS banking copy","Nested banking copy remains non-canonical and points to the standalone Banking Reasoning Lab owner.",""
"XL-OWN-REL-001","INFO","OWNERSHIP","Related repositories","All required related repositories are uniquely registered.",""
"XL-OWN-REL-002","INFO","OWNERSHIP","Related repositories","No support/domain-related repository acquired financial primitive ownership.",""
"XL-ID-001","INFO","IDENTITY","All registries","No duplicate canonical identifiers detected.",""
"XL-TRN-001","INFO","TRANSITION","All transitions","All transition endpoints resolve.",""
"XL-PRF-001","INFO","PROOF","All invariants","Every invariant has proof coverage.",""
"XL-CMP-001","INFO","COMPONENT","All proofs","Every proof obligation has component responsibility.",""
"XL-IF-001","INFO","INTERFACE","All components","Every component has at least one canonical interface.",""
"XL-IF-002","INFO","INTERFACE","All interfaces","Every interface provider resolves.",""
"XL-BND-002","WARNING","BOUNDARY","Runtime call graph","Architecture exposes a canonical consequential boundary controller, but full runtime proof that no mutation path bypasses FI-CORE-004 cannot exist until runtime implementation.","Verify call-graph and mutation-boundary completeness during runtime construction."
"XL-PRF-002","INFO","PROOF","All proof obligations","All proof obligations remain OPEN.",""
"XL-OWN-001","INFO","OWNERSHIP","Components","Every component has primary family ownership.",""
"XL-OWN-002","INFO","OWNERSHIP","Components","No component has multiple primary family owners.",""
"XL-FAM-001","INFO","FAMILY","F1-F8","All eight financial paper families have explicit component ownership.",""
