"outcome_id","name","class","recursive_review"
"F1-REV-001","REV_EXACT","SUCCESS","NO"
"F1-REV-002","REV_PARTIAL","PARTIAL","YES"
"F1-REV-003","REV_OVER","FAILURE_OR_REMEDIATION","YES"
"F1-REV-004","REV_WRONG_OBJECT","FAILURE_OR_REMEDIATION","YES"
"F1-REV-005","REV_STALE_TARGET","UNAVAILABLE","YES"
"F1-REV-006","REV_NON_REVERSIBLE","UNAVAILABLE","YES"
"F1-REV-007","REV_INTERVENING_CONFLICT","CONFLICT","YES"
"F1-REV-008","REV_NEW_DIVERGENCE","FAILURE_OR_REMEDIATION","YES"
"F1-REV-009","REV_CONTRADICTORY","FAILURE_OR_REMEDIATION","YES"
"F1-REV-010","REV_ZERO_EFFECT","FAILURE","YES"
"F1-REV-011","REV_INDETERMINATE","INDETERMINATE","YES"
