"claim_id","claim","class","status","evidence"
"F2-THM-001","Multiparty authority requirements can be satisfied by distinct actors.","POSITIVE","PROVED","F2_POSITIVE_PROOF_DISCHARGE.md"
"F2-NI-001","Consensus does not imply AuthorityComplete.","NON-IMPLICATION","COUNTEREXAMPLE-DISCHARGED","CE-001"
"F2-NI-002","AuthorityComplete does not imply Admissible_d.","NON-IMPLICATION","COUNTEREXAMPLE-DISCHARGED","CE-002"
"F2-NI-003","Admissible_d does not imply Executed.","NON-IMPLICATION","COUNTEREXAMPLE-DISCHARGED","CE-003"
"F2-NI-004","Execution does not imply AtomicComplete.","NON-IMPLICATION","COUNTEREXAMPLE-DISCHARGED","CE-004"
"F2-THM-004","Distributed strict non-empty proper effect subset maps to F1 PARTIAL.","POSITIVE","PROVED","F2_POSITIVE_PROOF_DISCHARGE.md"
"F2-NI-005","AtomicComplete does not imply SettlementFinal.","NON-IMPLICATION","COUNTEREXAMPLE-DISCHARGED","CE-005"
"F2-NI-006","LocalFinal does not imply CrossDomainFinal.","NON-IMPLICATION","COUNTEREXAMPLE-DISCHARGED","CE-006"
"F2-NI-007","SettlementFinal does not imply Irreversible.","NON-IMPLICATION","COUNTEREXAMPLE-DISCHARGED","CE-007"
"F2-THM-008","Distributed reconciliation operator does not itself mutate financial state.","POSITIVE","PROVED","F2_POSITIVE_PROOF_DISCHARGE.md"
"F2-NI-008","Reconciled does not imply SettlementFinal.","NON-IMPLICATION","COUNTEREXAMPLE-DISCHARGED","CE-008"
"F2-NI-009","Reconciled does not imply ContinuityPreserved.","NON-IMPLICATION","COUNTEREXAMPLE-DISCHARGED","CE-009"
"F2-NI-010","FunctionalRecovery does not imply ContinuityPreserved.","NON-IMPLICATION","COUNTEREXAMPLE-DISCHARGED","CE-010"
"F2-NI-011","Economic endpoint equivalence does not imply historical identity.","NON-IMPLICATION","COUNTEREXAMPLE-DISCHARGED","CE-011"
"F2-NI-012","Majority observation does not imply canonical branch.","NON-IMPLICATION","COUNTEREXAMPLE-DISCHARGED","CE-012"
"F2-THM-009","Canonical branch selection does not erase historical branch evidence.","POSITIVE","PROVED","F2_POSITIVE_PROOF_DISCHARGE.md"
"F2-THM-010","RECONSTRUCTED and PRESERVED are distinct for the same historical interval.","POSITIVE","PROVED","F2_POSITIVE_PROOF_DISCHARGE.md"
"F2-NI-013","Current preserved continuity does not imply historically uninterrupted preservation.","NON-IMPLICATION","COUNTEREXAMPLE-DISCHARGED","F2_POSITIVE_PROOF_DISCHARGE.md"
"F2-THM-012","F2 semantic layers are definitionally distinct.","POSITIVE","PROVED","F2_POSITIVE_PROOF_DISCHARGE.md"
