"id","attack","expected","result","claim"
"F2-ADV-001","Consensus manufactures authority","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-002","Unanimity bypasses missing authority","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-003","Conflicted consensus promoted to achieved","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-004","Indeterminate consensus collapsed to negative","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-005","Unknown admission state promoted to ADMIT","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-006","Stale authority reused without revalidation","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-007","Out-of-scope authority admitted","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-008","Reconstruction requirement bypassed","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-009","Single completed leg manufactures atomic completion","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-010","Unknown leg effect promoted to complete/partial","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-011","Atomic completion manufactures finality","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-012","Conflicted finality promoted to FINAL","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-013","Indeterminate finality promoted to FINAL","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-014","Stale finality reused","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-015","Material conflict auto-reconciled without governing rule","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-016","Insufficient evidence promoted to reconciliation","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-017","Residual conflict erased","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-018","Break event reported as PRESERVED","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-019","Reconstruction reported as PRESERVED","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-020","Missing continuity evidence promoted to PRESERVED","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-021","Export mutation changes internal evidence trace","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-022","Caller payload mutation changes stored event","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-023","Evidence sequence loses monotonicity","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-024","Consensus+authority manufactures atomic completion","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-025","Admission+atomic completion manufactures finality","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-026","Finality manufactures continuity preservation","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
"F2-ADV-027","Reconciliation manufactures continuity preservation","BLOCKED","PASS","REFERENCE-RUNTIME-CONFORMANT"
