"conflict_class","auto_resolve","finality_impact","history_persists"
"AUTHORITY-CONFLICT","NO","PROFILE-DEPENDENT-BLOCK","YES"
"AGREEMENT-CONFLICT","NO","PROFILE-DEPENDENT","YES"
"COMMITMENT-CONFLICT","NO","PROFILE-DEPENDENT","YES"
"CONSENSUS-CONFLICT","NO","PROFILE-DEPENDENT-BLOCK","YES"
"EXECUTION-ORDER-CONFLICT","NO","PROFILE-DEPENDENT-BLOCK","YES"
"EFFECT-CONFLICT","NO","BLOCK","YES"
"OBSERVATION-CONFLICT","NO","PROFILE-DEPENDENT","YES"
"FINALITY-CONFLICT","NO","BLOCK","YES"
"CROSS-DOMAIN-CONFLICT","NO","BLOCK-CROSS-DOMAIN","YES"
"EVIDENCE-CONFLICT","NO","PROFILE-DEPENDENT-BLOCK","YES"
"STATE-CONFLICT","NO","PROFILE-DEPENDENT-BLOCK","YES"
"MULTI-CLASS-CONFLICT","NO","BLOCK-UNTIL-CLASSIFIED","YES"
