"PO_ID","Type","Disposition","Evidence"
"F3-PO-001","NON-EQUIV","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-002","NON-EQUIV","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-003","NON-EQUIV","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-004","NON-EQUIV","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-005","NON-EQUIV","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-006","NON-EQUIV","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-007","NON-EQUIV","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-008","NON-EQUIV","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-009","NON-EQUIV","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-010","NON-EQUIV","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-011","NON-EQUIV","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-012","NON-EQUIV","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-013","NON-EQUIV","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-014","SAFETY","FORMALLY-PROVED","06-f3-discovery/proofs/F3_POSITIVE_PROOF_DISCHARGE.md"
"F3-PO-015","SAFETY","FORMALLY-PROVED","06-f3-discovery/proofs/F3_POSITIVE_PROOF_DISCHARGE.md"
"F3-PO-016","SAFETY","FORMALLY-PROVED","06-f3-discovery/proofs/F3_POSITIVE_PROOF_DISCHARGE.md"
"F3-PO-017","SAFETY","FORMALLY-PROVED","06-f3-discovery/proofs/F3_POSITIVE_PROOF_DISCHARGE.md"
"F3-PO-018","SAFETY","FORMALLY-PROVED","06-f3-discovery/proofs/F3_POSITIVE_PROOF_DISCHARGE.md"
"F3-PO-019","TRACEABILITY","FORMALLY-PROVED","06-f3-discovery/proofs/F3_POSITIVE_PROOF_DISCHARGE.md"
"F3-PO-020","TRACEABILITY","FORMALLY-PROVED","06-f3-discovery/proofs/F3_POSITIVE_PROOF_DISCHARGE.md"
"F3-PO-021","HISTORY","FORMALLY-PROVED","06-f3-discovery/proofs/F3_POSITIVE_PROOF_DISCHARGE.md"
"F3-PO-022","HISTORY","FORMALLY-PROVED","06-f3-discovery/proofs/F3_POSITIVE_PROOF_DISCHARGE.md"
"F3-PO-023","HISTORY","FORMALLY-PROVED","06-f3-discovery/proofs/F3_POSITIVE_PROOF_DISCHARGE.md"
