"attack_id","proof_burden","attack","expected","observed","verdict"
"F1-ADV-001","F1-SAFE-CMP-003","Create compensation from original failure with no independent authority","BLOCK","BLOCK","PASS"
"F1-ADV-002","F1-SAFE-CMP-003","Use stale compensation authority","BLOCK","BLOCK","PASS"
"F1-ADV-003","F1-SAFE-CMP-003","Use invalid compensation scope","BLOCK","BLOCK","PASS"
"F1-ADV-004","F1-SAFE-CMP-005","Reuse e0 as compensation event identity","REJECT","REJECT","PASS"
"F1-ADV-005","F1-SAFE-REV-004","Create reversal permit from eligibility without authority","BLOCK","BLOCK","PASS"
"F1-ADV-006","F1-SAFE-REV-004","Use stale reversal authority","BLOCK","BLOCK","PASS"
"F1-ADV-007","F1-SAFE-REV-004","Use invalid reversal scope","BLOCK","BLOCK","PASS"
"F1-ADV-008","F1-SAFE-REV-004","Reuse e0 as reversal event identity","REJECT","REJECT","PASS"
"F1-ADV-009","CONSEQUENTIAL-BOUNDARY","Instantiate successful BoundaryPermit outside boundary.py","NO-BYPASS","NO-BYPASS","PASS"
"F1-ADV-010","EFFECT-CLASSIFIER","Inject economic mutation outside intended set M*","INDETERMINATE","INDETERMINATE","PASS"
"F1-ADV-011","EFFECT-CLASSIFIER","Force unresolved mutation state into NO-EFFECT","INDETERMINATE","INDETERMINATE","PASS"
"F1-ADV-012","EFFECT-CLASSIFIER","Supply conflicting occurrence and non-occurrence evidence","INDETERMINATE","INDETERMINATE","PASS"
"F1-ADV-013","F1-TRACE-REC-006","Force reconciliation to choose arbitrarily between two candidate states","INDETERMINATE","INDETERMINATE","PASS"
"F1-ADV-014","F1-TRACE-REC-006","Reconcile with missing provenance","FAILED","FAILED","PASS"
"F1-ADV-015","F1-TRACE-REV-006","Mutate returned evidence object to erase originating history","RETAINED-HISTORY-UNCHANGED","RETAINED-HISTORY-UNCHANGED","PASS"
"F1-ADV-016","F1-TRACE-REV-006","Compensation/reversal lineage removes original event e0","E0-PRESERVED","E0-PRESERVED","PASS"
"F1-ADV-017","F1-TRACE-CNT-007","Classify reconstructed history as PRESERVED","RECONSTRUCTED","RECONSTRUCTED","PASS"
"F1-ADV-018","F1-TRACE-CNT-007","Claim reconstruction without represented prior break","INDETERMINATE","INDETERMINATE","PASS"
"F1-ADV-019","F1-TRACE-REC-006","Collapse full e0 -> ec -> reconciliation -> continuity path to terminal state","FULL-LINEAGE-PRESERVED","FULL-LINEAGE-PRESERVED","PASS"
