"invariant_id","invariant_family","invariant_name","proof_obligation_id","proof_state","component_surface","first_major_paper"
"FIN-AUTH-001","FIN-AUTH","Capability Is Not Authority","PO-FIN-AUTH-001","OPEN","FIN-COMP-001; FIN-COMP-021; FIN-COMP-026; FIN-COMP-032","FOUNDATION"
"FIN-AUTH-002","FIN-AUTH","Prior Authorization Is Not Current Authority","PO-FIN-AUTH-002","OPEN","FIN-COMP-001; FIN-COMP-021; FIN-COMP-026; FIN-COMP-032","FOUNDATION"
"FIN-AUTH-003","FIN-AUTH","Authority Cannot Self-Expand","PO-FIN-AUTH-003","OPEN","FIN-COMP-001; FIN-COMP-021; FIN-COMP-026; FIN-COMP-032","FOUNDATION/F8"
"FIN-AUTH-004","FIN-AUTH","Control Is Not Authority","PO-FIN-AUTH-004","OPEN","FIN-COMP-001; FIN-COMP-021; FIN-COMP-026; FIN-COMP-032","F5"
"FIN-AUTH-005","FIN-AUTH","Delegation Must Remain Bound","PO-FIN-AUTH-005","OPEN","FIN-COMP-001; FIN-COMP-021; FIN-COMP-026; FIN-COMP-032","F8"
"FIN-ADM-001","FIN-ADM","Authorization Does Not Imply Admission","PO-FIN-ADM-001","OPEN","FIN-COMP-002; FIN-COMP-010; FIN-COMP-013; FIN-COMP-027","FOUNDATION"
"FIN-ADM-002","FIN-ADM","Admission Must Be Contemporaneous","PO-FIN-ADM-002","OPEN","FIN-COMP-002; FIN-COMP-010; FIN-COMP-013; FIN-COMP-027","FOUNDATION"
"FIN-ADM-003","FIN-ADM","Defined Transition Does Not Imply Admissibility","PO-FIN-ADM-003","OPEN","FIN-COMP-002; FIN-COMP-010; FIN-COMP-013; FIN-COMP-027","FOUNDATION"
"FIN-ADM-004","FIN-ADM","Indeterminate Admission Fails Closed","PO-FIN-ADM-004","OPEN","FIN-COMP-002; FIN-COMP-010; FIN-COMP-013; FIN-COMP-027","FOUNDATION"
"FIN-ADM-005","FIN-ADM","Admission Is Attempt Specific","PO-FIN-ADM-005","OPEN","FIN-COMP-002; FIN-COMP-010; FIN-COMP-013; FIN-COMP-027","FOUNDATION"
"FIN-EXE-001","FIN-EXE","No Execution Without Admission","PO-FIN-EXE-001","OPEN","FIN-COMP-003; FIN-COMP-004","FOUNDATION"
"FIN-EXE-002","FIN-EXE","Execution Boundary Is Non-Bypassable","PO-FIN-EXE-002","OPEN","FIN-COMP-003; FIN-COMP-004","FOUNDATION"
"FIN-EXE-003","FIN-EXE","Execution Identity Must Remain Bound","PO-FIN-EXE-003","OPEN","FIN-COMP-003; FIN-COMP-004","FOUNDATION"
"FIN-EXE-004","FIN-EXE","Execution Completion Does Not Establish Finality","PO-FIN-EXE-004","OPEN","FIN-COMP-003; FIN-COMP-004","F1/F3"
"FIN-EXE-005","FIN-EXE","Replay Does Not Recreate Authority","PO-FIN-EXE-005","OPEN","FIN-COMP-003; FIN-COMP-004","FOUNDATION"
"FIN-EFF-001","FIN-EFF","No Effect Is Distinct From Partial Effect","PO-FIN-EFF-001","OPEN","FIN-COMP-005; FIN-COMP-006","F1"
"FIN-EFF-002","FIN-EFF","Partial Effect Must Be Observable","PO-FIN-EFF-002","OPEN","FIN-COMP-005; FIN-COMP-006","F1"
"FIN-EFF-003","FIN-EFF","Effect Does Not Establish Legitimacy","PO-FIN-EFF-003","OPEN","FIN-COMP-005; FIN-COMP-006","F1"
"FIN-EFF-004","FIN-EFF","Later Effect Does Not Erase Earlier Effect","PO-FIN-EFF-004","OPEN","FIN-COMP-005; FIN-COMP-006","F1/F3"
"FIN-EFF-005","FIN-EFF","Indeterminate Effect Is Not No Effect","PO-FIN-EFF-005","OPEN","FIN-COMP-005; FIN-COMP-006","F1"
"FIN-SET-001","FIN-SET","Execution Is Not Settlement","PO-FIN-SET-001","OPEN","FIN-COMP-007; FIN-COMP-023","F1"
"FIN-SET-002","FIN-SET","Partial Settlement Must Remain Explicit","PO-FIN-SET-002","OPEN","FIN-COMP-007; FIN-COMP-023","F1"
"FIN-SET-003","FIN-SET","Settlement State Must Preserve Lineage","PO-FIN-SET-003","OPEN","FIN-COMP-007; FIN-COMP-023","F1"
"FIN-SET-004","FIN-SET","Settlement Completion Is Not Governance Validity","PO-FIN-SET-004","OPEN","FIN-COMP-007; FIN-COMP-023","F3"
"FIN-SET-005","FIN-SET","No Silent Settlement Mutation","PO-FIN-SET-005","OPEN","FIN-COMP-007; FIN-COMP-023","F1"
"FIN-CMP-001","FIN-CMP","Compensation Is New Execution","PO-FIN-CMP-001","OPEN","FIN-COMP-009; FIN-COMP-010; FIN-COMP-011","F1"
"FIN-CMP-002","FIN-CMP","Compensation Requirement Is Not Compensation Authority","PO-FIN-CMP-002","OPEN","FIN-COMP-009; FIN-COMP-010; FIN-COMP-011","F1"
"FIN-CMP-003","FIN-CMP","Compensation Must Be Independently Admitted","PO-FIN-CMP-003","OPEN","FIN-COMP-009; FIN-COMP-010; FIN-COMP-011","F1"
"FIN-CMP-004","FIN-CMP","Compensation Preserves Originating History","PO-FIN-CMP-004","OPEN","FIN-COMP-009; FIN-COMP-010; FIN-COMP-011","F1"
"FIN-CMP-005","FIN-CMP","Compensation Is Not Reversal","PO-FIN-CMP-005","OPEN","FIN-COMP-009; FIN-COMP-010; FIN-COMP-011","F1"
"FIN-REV-001","FIN-REV","Reversal Is New Execution","PO-FIN-REV-001","OPEN","FIN-COMP-012; FIN-COMP-013; FIN-COMP-014","F1"
"FIN-REV-002","FIN-REV","Reversal Requirement Is Not Reversal Authority","PO-FIN-REV-002","OPEN","FIN-COMP-012; FIN-COMP-013; FIN-COMP-014","F1"
"FIN-REV-003","FIN-REV","Reversal Must Be Independently Admitted","PO-FIN-REV-003","OPEN","FIN-COMP-012; FIN-COMP-013; FIN-COMP-014","F1"
"FIN-REV-004","FIN-REV","Reversal Does Not Erase History","PO-FIN-REV-004","OPEN","FIN-COMP-012; FIN-COMP-013; FIN-COMP-014","F1/F3"
"FIN-REV-005","FIN-REV","State Equivalence After Reversal Is Not Historical Equivalence","PO-FIN-REV-005","OPEN","FIN-COMP-012; FIN-COMP-013; FIN-COMP-014","F3"
"FIN-REC-001","FIN-REC","Reconciliation Is Not Continuity","PO-FIN-REC-001","OPEN","FIN-COMP-015; FIN-COMP-016","F3"
"FIN-REC-002","FIN-REC","Reconstruction Is Not Restoration","PO-FIN-REC-002","OPEN","FIN-COMP-015; FIN-COMP-016","F3"
"FIN-REC-003","FIN-REC","Functional Restoration Is Not Historical Restoration","PO-FIN-REC-003","OPEN","FIN-COMP-015; FIN-COMP-016","F3"
"FIN-REC-004","FIN-REC","Reconciliation Must Preserve Divergence","PO-FIN-REC-004","OPEN","FIN-COMP-015; FIN-COMP-016","F3"
"FIN-REC-005","FIN-REC","Unknown History Cannot Be Declared Restored","PO-FIN-REC-005","OPEN","FIN-COMP-015; FIN-COMP-016","F3"
"FIN-EVD-001","FIN-EVD","Execution Must Be Evidenced","PO-FIN-EVD-001","OPEN","FIN-COMP-017; FIN-COMP-018","FOUNDATION"
"FIN-EVD-002","FIN-EVD","Governed Refusal Must Be Distinguishable","PO-FIN-EVD-002","OPEN","FIN-COMP-017; FIN-COMP-018","FOUNDATION"
"FIN-EVD-003","FIN-EVD","Evidence Does Not Create Authority","PO-FIN-EVD-003","OPEN","FIN-COMP-017; FIN-COMP-018","FOUNDATION"
"FIN-EVD-004","FIN-EVD","Remediation Must Preserve Lineage","PO-FIN-EVD-004","OPEN","FIN-COMP-017; FIN-COMP-018","F1"
"FIN-EVD-005","FIN-EVD","Classification Must Be Evidence Backed","PO-FIN-EVD-005","OPEN","FIN-COMP-017; FIN-COMP-018","F3"
"FIN-FIN-001","FIN-FIN","Completion Is Not Finality","PO-FIN-FIN-001","OPEN","FIN-COMP-019","F3"
"FIN-FIN-002","FIN-FIN","Finality Is Explicit Classification","PO-FIN-FIN-002","OPEN","FIN-COMP-019","F3/F4"
"FIN-FIN-003","FIN-FIN","Finality Does Not Establish Valid Authority","PO-FIN-FIN-003","OPEN","FIN-COMP-019","F3"
"FIN-FIN-004","FIN-FIN","Finality Does Not Establish Continuity","PO-FIN-FIN-004","OPEN","FIN-COMP-019","F3"
"FIN-FIN-005","FIN-FIN","Reopened Finality Requires Explicit Authority","PO-FIN-FIN-005","OPEN","FIN-COMP-019","F3"
"FIN-CON-001","FIN-CON","Continuity Is Independently Classified","PO-FIN-CON-001","OPEN","FIN-COMP-020","F3"
"FIN-CON-002","FIN-CON","Reconstruction Does Not Restore Continuity","PO-FIN-CON-002","OPEN","FIN-COMP-020","F3"
"FIN-CON-003","FIN-CON","Restored Function Does Not Restore Continuity","PO-FIN-CON-003","OPEN","FIN-COMP-020","F3"
"FIN-CON-004","FIN-CON","Continuity Break Survives Later Equivalence","PO-FIN-CON-004","OPEN","FIN-COMP-020","F3"
"FIN-CON-005","FIN-CON","Indeterminate Continuity Is Not Preserved Continuity","PO-FIN-CON-005","OPEN","FIN-COMP-020","F3"
"FIN-DST-001","FIN-DST","Consensus Is Not Authority","PO-FIN-DST-001","OPEN","FIN-COMP-021; FIN-COMP-022; FIN-COMP-023; FIN-COMP-024; FIN-COMP-025","F4"
"FIN-DST-002","FIN-DST","Ledger Validity Is Not Governance Admission","PO-FIN-DST-002","OPEN","FIN-COMP-021; FIN-COMP-022; FIN-COMP-023; FIN-COMP-024; FIN-COMP-025","F4"
"FIN-DST-003","FIN-DST","Multi-Party Execution Requires Composable Authority","PO-FIN-DST-003","OPEN","FIN-COMP-021; FIN-COMP-022; FIN-COMP-023; FIN-COMP-024; FIN-COMP-025","F2"
"FIN-DST-004","FIN-DST","Remote State Is Execution Relevant","PO-FIN-DST-004","OPEN","FIN-COMP-021; FIN-COMP-022; FIN-COMP-023; FIN-COMP-024; FIN-COMP-025","F2/F4"
"FIN-DST-005","FIN-DST","Distributed Finality Does Not Erase Governance Failure","PO-FIN-DST-005","OPEN","FIN-COMP-021; FIN-COMP-022; FIN-COMP-023; FIN-COMP-024; FIN-COMP-025","F4"
"FIN-JUR-001","FIN-JUR","Jurisdiction Is Execution Relevant State","PO-FIN-JUR-001","OPEN","FIN-COMP-029; FIN-COMP-030","F7"
"FIN-JUR-002","FIN-JUR","Initial Jurisdiction Does Not Permanently Govern","PO-FIN-JUR-002","OPEN","FIN-COMP-029; FIN-COMP-030","F7"
"FIN-JUR-003","FIN-JUR","Cross-Boundary Authority Cannot Expand Implicitly","PO-FIN-JUR-003","OPEN","FIN-COMP-029; FIN-COMP-030","F7"
"FIN-JUR-004","FIN-JUR","Jurisdiction Conflict Must Be Explicit","PO-FIN-JUR-004","OPEN","FIN-COMP-029; FIN-COMP-030","F7"
"FIN-JUR-005","FIN-JUR","Indeterminate Jurisdiction Cannot Authorize","PO-FIN-JUR-005","OPEN","FIN-COMP-029; FIN-COMP-030","F7"
"FIN-AGT-001","FIN-AGT","Agent Capability Is Not Economic Authority","PO-FIN-AGT-001","OPEN","FIN-COMP-031; FIN-COMP-032; FIN-COMP-033; FIN-COMP-034","F8"
"FIN-AGT-002","FIN-AGT","Agent Must Resolve To Principal","PO-FIN-AGT-002","OPEN","FIN-COMP-031; FIN-COMP-032; FIN-COMP-033; FIN-COMP-034","F8"
"FIN-AGT-003","FIN-AGT","Delegation Attenuates","PO-FIN-AGT-003","OPEN","FIN-COMP-031; FIN-COMP-032; FIN-COMP-033; FIN-COMP-034","F8"
"FIN-AGT-004","FIN-AGT","Agent Cannot Self-Authorize","PO-FIN-AGT-004","OPEN","FIN-COMP-031; FIN-COMP-032; FIN-COMP-033; FIN-COMP-034","F8"
"FIN-AGT-005","FIN-AGT","Agent Intent Drift Invalidates Admission","PO-FIN-AGT-005","OPEN","FIN-COMP-031; FIN-COMP-032; FIN-COMP-033; FIN-COMP-034","F8"
