"Surface","Status","Issue"
"06-f3-discovery\FIN_F3_01_DISCOVERY.md","PASS",""
"06-f3-discovery\FIN_F3_01B_PROBLEM_BOUNDARY.md","PASS",""
"06-f3-discovery\formal\F3_CANONICAL_OBJECTS.md","PASS",""
"06-f3-discovery\formal\F3_STATE_ALGEBRA.md","PASS",""
"06-f3-discovery\formal\F3_RELATION_ALGEBRA.md","PASS",""
"06-f3-discovery\formal\F3_NON_EQUIVALENCE_ALGEBRA.md","PASS",""
"06-f3-discovery\formal\F3_TRANSITION_SYSTEM.md","PASS",""
"06-f3-discovery\formal\F3_FINALITY_ELIGIBILITY_SEMANTICS.md","PASS",""
"06-f3-discovery\proofs\F3_POSITIVE_PROOF_DISCHARGE.md","PASS",""
"06-f3-discovery\proofs\F3_COUNTEREXAMPLE_DISCHARGE.md","PASS",""
"06-f3-discovery\runtime\f3_runtime\engine.py","PASS",""
"03-registries\F3_OBJECT_REGISTRY.csv","PASS",""
"03-registries\F3_NON_EQUIVALENCE_REGISTRY.csv","PASS",""
"03-registries\F3_INVARIANT_REGISTER.csv","PASS",""
"03-registries\F3_PROOF_OBLIGATION_REGISTRY.csv","PASS",""
"03-registries\F3_PROOF_DISCHARGE_REGISTRY.csv","PASS",""
"03-registries\F3_TRANSITION_REGISTRY.csv","PASS",""
"03-registries\F3_FINALITY_ELIGIBILITY_REGISTER.csv","PASS",""
"03-registries\F3_RUNTIME_CONFORMANCE_MATRIX.csv","PASS",""
"03-registries\F3_RUNTIME_PROOF_CLOSURE.csv","PASS",""
"03-registries\F3_ADVERSARIAL_VERIFICATION_MATRIX.csv","PASS",""
"SEMANTIC:execution != finality","PASS",""
"SEMANTIC:custody possession != custody authority","PASS",""
"SEMANTIC:atomic completion != finality","PASS",""
"SEMANTIC:consensus != finality","PASS",""
"SEMANTIC:reconciliation != finality","PASS",""
"SEMANTIC:finality != irreversibility","PASS",""
"SEMANTIC:finality != continuity preservation","PASS",""
"SEMANTIC:finality != consequential closure","PASS",""
"F3 proof closure","PASS",""
