"rule_id","source","forbidden_action","reason"
"FIN-FORBID-001","Economic Effect Observer","Create execution authority from observed effect","Effect does not establish legitimacy"
"FIN-FORBID-002","Compensation Requirement Classifier","Authorize compensation","Requirement is not authority"
"FIN-FORBID-003","Reversal Requirement Classifier","Authorize reversal","Requirement is not authority"
"FIN-FORBID-004","Evidence Lineage Recorder","Create execution authority from evidence","Evidence does not create authority"
"FIN-FORBID-005","Finality Classifier","Infer originating authority from finality","Finality does not prove authority"
"FIN-FORBID-006","Continuity Classifier","Create authority from continuity classification","Classification is descriptive/evaluative"
"FIN-FORBID-007","Distributed Settlement Coordinator","Create participant authority","Coordination does not create authority"
"FIN-FORBID-008","Consensus Authority Separator","Treat consensus as authority","Consensus != authority"
"FIN-FORBID-009","Digital Custody Authority Resolver","Treat key/wallet/custody control as sufficient authority","Control != authority"
"FIN-FORBID-010","Oracle State Integrity Monitor","Create execution authority from oracle data","Oracle data is input/evidence, not authority"
"FIN-FORBID-011","Jurisdiction State Resolver","Expand authority because jurisdiction changes","Cross-boundary authority cannot expand implicitly"
"FIN-FORBID-012","Autonomous Principal Resolver","Invent a principal when none can be resolved","Agent authority must resolve to a valid origin"
"FIN-FORBID-013","Delegated Economic Authority Evaluator","Return authority broader than delegated scope","Delegation attenuates"
"FIN-FORBID-014","Machine-Originated Execution Controller","Self-authorize machine-originated execution","Agent cannot create its own authority"
