"concept","classification","owner","f1_action"
"Authority creation","INHERITED","UAA","REFERENCE ONLY"
"Current admissibility","INHERITED","UAA/DEI","REFERENCE/SPECIALIZE"
"Pre-effect settlement enforcement","INHERITED","UES","REFERENCE ONLY"
"Partial economic effect","NEW","F1","FORMALIZE"
"Post-effect containment","NEW","F1","FORMALIZE"
"Compensation as distinct consequential execution","NEW-SPECIALIZATION","F1","FORMALIZE/PROVE"
"Reversal as distinct consequential execution","NEW-SPECIALIZATION","F1","FORMALIZE/PROVE"
"Financial reconciliation after partial effect","NEW-SPECIALIZATION","F1","FORMALIZE"
"Economic equivalence vs historical identity","NEW","F1","FORMALIZE/PROVE"
"Post-effect financial continuity classification","NEW-SPECIALIZATION","F1/EIP","FORMALIZE WITH EIP BINDING"
