"invariant_id","family","title","statement","applies_to","inherited_from","first_paper"
"FIN-OBJ-001","OBJECT","Ownership Is Not Authority","Economic ownership SHALL NOT be treated as equivalent to execution authority.","All financial resources and actors","UAA + FIN-ARCH-03","FOUNDATION"
"FIN-OBJ-002","OBJECT","Control Is Not Authority","Operational, custodial, cryptographic, or technical control SHALL NOT be treated as equivalent to execution authority.","Accounts, assets, wallets, keys, custody systems","UAA + FIN-ARCH-03","F5"
"FIN-OBJ-003","OBJECT","Economic Equivalence Is Not Historical Equivalence","A later state that is economically equivalent to an earlier state SHALL NOT be classified as historically identical solely from value equivalence.","Settlement, compensation, reversal, reconstruction","FIN-ARCH-04","F1"
"FIN-OBJ-004","OBJECT","Evidence Is Not Authority","Evidence, telemetry, consensus, or observation SHALL NOT create execution authority.","All evidence-bearing financial systems","UAA","FOUNDATION"
"FIN-AUTH-001","AUTHORITY","No Default Financial Authority","No financially consequential action SHALL possess execution authority by default.","All financial execution events","UAA","DEI"
"FIN-AUTH-002","AUTHORITY","Current Authority Required","Authority SHALL be current at the relevant consequential execution boundary.","All consequential transitions","UAA + AOMS + DEI","DEI"
"FIN-AUTH-003","AUTHORITY","Delegation Cannot Expand Authority","Delegated financial authority SHALL NOT exceed the scope of the delegating authority.","Delegated and autonomous execution","UAA + EIP","F8"
"FIN-AUTH-004","AUTHORITY","Historical Authority Does Not Persist Automatically","Prior financial authority SHALL NOT be presumed valid after relevant actor, policy, resource, jurisdiction, or dependency state changes.","All financial executions","AOMS + UAA","DEI"
"FIN-ADM-001","ADMISSIBILITY","Admission Required Before Effectuation","A financially consequential execution SHALL NOT cross the effectuation boundary unless current admissibility has been established.","All executions","UAA + UES + DEI","DEI"
"FIN-ADM-002","ADMISSIBILITY","Admission Is Attempt-Specific","Admissibility for one execution attempt SHALL NOT automatically authorize a subsequent attempt.","Repeated or retried executions","UAA","DEI"
"FIN-ADM-003","ADMISSIBILITY","Indeterminate Admission Fails Closed","If required current admissibility cannot be established deterministically, the execution SHALL NOT be admitted.","All execution boundaries","UAA","DEI"
"FIN-ADM-004","ADMISSIBILITY","State Mutation Requires Revalidation","A material execution-relevant state change SHALL invalidate prior admission unless explicit continuity rules preserve it.","Policy, authority, resource, counterparty, environment, jurisdiction state","AOMS + DEI","F2"
"FIN-EFF-001","EFFECTUATION","No Effect on Pre-Effect Block","A governed block before effectuation SHALL produce no governed economic effect.","Pre-effect refusal","UAA + UES","DEI"
"FIN-EFF-002","EFFECTUATION","Effect Must Be Classified","Every consequential execution attempt that crosses the effectuation boundary SHALL resolve to NO-EFFECT, PARTIAL, COMPLETED, or INDETERMINATE.","All executions","FIN-ARCH-04","F1"
"FIN-EFF-003","EFFECTUATION","Partial Effect Must Not Collapse Into Failure","A partial economic effect SHALL remain distinguishable from zero-effect failure and completed execution.","Post-effect settlement","FIN-ARCH-04","F1"
"FIN-EFF-004","EFFECTUATION","Effect History Is Append-Only","Once a consequential economic effect has occurred, later compensation, reversal, or reconstruction SHALL NOT erase its historical occurrence.","Post-effect processing","POB + FIN-ARCH-04","F1"
"FIN-SET-001","SETTLEMENT","Settlement Requires Current Admission","Settlement effectuation SHALL require current admissibility at the settlement boundary.","Settlement execution","UES + DEI","DEI"
"FIN-SET-002","SETTLEMENT","Settlement State Must Be Explicit","Settlement SHALL NOT be represented by a single binary success/failure flag when partial, provisional, reversed, reconciled, or indeterminate states are possible.","Settlement lifecycle","FIN-ARCH-04","F1"
