"relation_id","statement","required"
"F1-CNT-R001","Economic State Equivalence != Continuity Preservation","YES"
"F1-CNT-R002","Reconciled State != Continuity Preserved","YES"
"F1-CNT-R003","Reconstructed Continuity != Preserved Continuity","YES"
"F1-CNT-R004","Functional Recovery != Continuity Preservation","YES"
"F1-CNT-R005","Successful Compensation != Continuity Preservation","YES"
"F1-CNT-R006","Successful Reversal != Continuity Preservation","YES"
"F1-CNT-R007","Continuity Preservation != Historical Identity","YES"
"F1-CNT-R008","Terminal State != Execution Path","YES"
"F1-CNT-R009","Current Correctness != Historical Continuity","YES"
"F1-CNT-R010","Absence of Known Break != Proven Preservation","YES"
