"invariant_id","family","name","f1_ownership","proof_status"
"FIN-AUTH-001","FIN-AUTH","Capability Is Not Authority","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-AUTH-002","FIN-AUTH","Prior Authorization Is Not Current Authority","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-AUTH-003","FIN-AUTH","Authority Cannot Self-Expand","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-AUTH-004","FIN-AUTH","Control Is Not Authority","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-AUTH-005","FIN-AUTH","Delegation Must Remain Bound","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-ADM-001","FIN-ADM","Authorization Does Not Imply Admission","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-ADM-002","FIN-ADM","Admission Must Be Contemporaneous","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-ADM-003","FIN-ADM","Defined Transition Does Not Imply Admissibility","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-ADM-004","FIN-ADM","Indeterminate Admission Fails Closed","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-ADM-005","FIN-ADM","Admission Is Attempt Specific","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-EXE-001","FIN-EXE","No Execution Without Admission","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-EXE-002","FIN-EXE","Execution Boundary Is Non-Bypassable","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-EXE-003","FIN-EXE","Execution Identity Must Remain Bound","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-EXE-004","FIN-EXE","Execution Completion Does Not Establish Finality","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-EXE-005","FIN-EXE","Replay Does Not Recreate Authority","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-EFF-001","FIN-EFF","No Effect Is Distinct From Partial Effect","F1_PRIMARY","OPEN"
"FIN-EFF-002","FIN-EFF","Partial Effect Must Be Observable","F1_PRIMARY","OPEN"
"FIN-EFF-003","FIN-EFF","Effect Does Not Establish Legitimacy","F1_PRIMARY","OPEN"
"FIN-EFF-004","FIN-EFF","Later Effect Does Not Erase Earlier Effect","F1_PRIMARY","OPEN"
"FIN-EFF-005","FIN-EFF","Indeterminate Effect Is Not No Effect","F1_PRIMARY","OPEN"
"FIN-SET-001","FIN-SET","Execution Is Not Settlement","F1_PRIMARY_WITH_UES_INHERITANCE","OPEN"
"FIN-SET-002","FIN-SET","Partial Settlement Must Remain Explicit","F1_PRIMARY_WITH_UES_INHERITANCE","OPEN"
"FIN-SET-003","FIN-SET","Settlement State Must Preserve Lineage","F1_PRIMARY_WITH_UES_INHERITANCE","OPEN"
"FIN-SET-004","FIN-SET","Settlement Completion Is Not Governance Validity","F1_PRIMARY_WITH_UES_INHERITANCE","OPEN"
"FIN-SET-005","FIN-SET","No Silent Settlement Mutation","F1_PRIMARY_WITH_UES_INHERITANCE","OPEN"
"FIN-CMP-001","FIN-CMP","Compensation Is New Execution","F1_PRIMARY","OPEN"
"FIN-CMP-002","FIN-CMP","Compensation Requirement Is Not Compensation Authority","F1_PRIMARY","OPEN"
"FIN-CMP-003","FIN-CMP","Compensation Must Be Independently Admitted","F1_PRIMARY","OPEN"
"FIN-CMP-004","FIN-CMP","Compensation Preserves Originating History","F1_PRIMARY","OPEN"
"FIN-CMP-005","FIN-CMP","Compensation Is Not Reversal","F1_PRIMARY","OPEN"
"FIN-REV-001","FIN-REV","Reversal Is New Execution","F1_PRIMARY","OPEN"
"FIN-REV-002","FIN-REV","Reversal Requirement Is Not Reversal Authority","F1_PRIMARY","OPEN"
"FIN-REV-003","FIN-REV","Reversal Must Be Independently Admitted","F1_PRIMARY","OPEN"
"FIN-REV-004","FIN-REV","Reversal Does Not Erase History","F1_PRIMARY","OPEN"
"FIN-REV-005","FIN-REV","State Equivalence After Reversal Is Not Historical Equivalence","F1_PRIMARY","OPEN"
"FIN-REC-001","FIN-REC","Reconciliation Is Not Continuity","F1_SHARED_WITH_F3","OPEN"
"FIN-REC-002","FIN-REC","Reconstruction Is Not Restoration","F1_SHARED_WITH_F3","OPEN"
"FIN-REC-003","FIN-REC","Functional Restoration Is Not Historical Restoration","F1_SHARED_WITH_F3","OPEN"
"FIN-REC-004","FIN-REC","Reconciliation Must Preserve Divergence","F1_SHARED_WITH_F3","OPEN"
"FIN-REC-005","FIN-REC","Unknown History Cannot Be Declared Restored","F1_SHARED_WITH_F3","OPEN"
"FIN-EVD-001","FIN-EVD","Execution Must Be Evidenced","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-EVD-002","FIN-EVD","Governed Refusal Must Be Distinguishable","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-EVD-003","FIN-EVD","Evidence Does Not Create Authority","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-EVD-004","FIN-EVD","Remediation Must Preserve Lineage","F1_INHERITED_CONSTRAINT","OPEN"
"FIN-EVD-005","FIN-EVD","Classification Must Be Evidence Backed","F1_INHERITED_CONSTRAINT","OPEN"
