"scope_id","concept","status","owner"
"F1-SCP-001","Partial economic effect","IN-SCOPE","F1"
"F1-SCP-002","Post-effect interruption","IN-SCOPE","F1"
"F1-SCP-003","Containment after economic mutation","IN-SCOPE","F1"
"F1-SCP-004","Compensation requirement","IN-SCOPE","F1"
"F1-SCP-005","Compensating execution","IN-SCOPE","F1"
"F1-SCP-006","Reversal eligibility","IN-SCOPE","F1"
"F1-SCP-007","Reversal execution","IN-SCOPE","F1"
"F1-SCP-008","Financial reconciliation","IN-SCOPE","F1"
"F1-SCP-009","Economic vs historical equivalence","IN-SCOPE","F1"
"F1-SCP-010","Post-effect continuity classification","IN-SCOPE","F1"
"F1-SCP-011","Post-effect indeterminacy","IN-SCOPE","F1"
"F1-SCP-012","Initial authority issuance","INHERITED","UAA"
"F1-SCP-013","Generic current admissibility","INHERITED","UAA"
"F1-SCP-014","Generic execution continuity","INHERITED","EIP"
"F1-SCP-015","Generic state reconciliation","INHERITED","AOMS"
"F1-SCP-016","Generic governed refusal evidence","INHERITED","Proof-of-Block"
"F1-SCP-017","Pre-effect settlement authorization","INHERITED","UES"
"F1-SCP-018","Pre-effect deterministic no-settlement","INHERITED","UES"
"F1-SCP-019","Contemporaneous financial admissibility","INHERITED","DEI"
