"transition_id","from","to","class"
"FIN-T-001","PROPOSED","AUTHORIZED","authorization"
"FIN-T-002","AUTHORIZED","ADMITTED","admission"
"FIN-T-003","ADMITTED","EXECUTING","effectuation"
"FIN-T-004","EXECUTING","NO-EFFECT","effect-outcome"
"FIN-T-005","EXECUTING","PARTIAL","effect-outcome"
"FIN-T-006","EXECUTING","COMPLETED","effect-outcome"
"FIN-T-007","EXECUTING","INDETERMINATE","effect-outcome"
"FIN-T-008","PARTIAL","CONTAINMENT-REQUIRED","containment"
"FIN-T-009","CONTAINMENT-REQUIRED","CONTAINED","containment"
"FIN-T-010","PARTIAL","COMPENSATION-REQUIRED","compensation"
"FIN-T-011","COMPENSATION-REQUIRED","COMPENSATION-PROPOSED","compensation"
"FIN-T-012","COMPENSATION-PROPOSED","COMPENSATION-AUTHORIZED","compensation"
"FIN-T-013","COMPENSATION-AUTHORIZED","COMPENSATION-ADMITTED","compensation"
"FIN-T-014","COMPENSATION-ADMITTED","COMPENSATING","compensation"
"FIN-T-015","COMPENSATING","COMPENSATED","compensation"
"FIN-T-016","PARTIAL","REVERSAL-ELIGIBLE","reversal"
"FIN-T-017","REVERSAL-ELIGIBLE","REVERSAL-PROPOSED","reversal"
"FIN-T-018","REVERSAL-PROPOSED","REVERSAL-AUTHORIZED","reversal"
"FIN-T-019","REVERSAL-AUTHORIZED","REVERSAL-ADMITTED","reversal"
"FIN-T-020","REVERSAL-ADMITTED","REVERSING","reversal"
"FIN-T-021","REVERSING","REVERSED","reversal"
"FIN-T-022","PARTIAL","RECONCILIATION-REQUIRED","reconciliation"
"FIN-T-023","COMPLETED","RECONCILIATION-REQUIRED","reconciliation"
"FIN-T-024","COMPENSATED","RECONCILIATION-REQUIRED","reconciliation"
"FIN-T-025","REVERSED","RECONCILIATION-REQUIRED","reconciliation"
"FIN-T-026","INDETERMINATE","RECONCILIATION-REQUIRED","reconciliation"
"FIN-T-027","RECONCILIATION-REQUIRED","RECONCILING","reconciliation"
"FIN-T-028","RECONCILING","RECONCILED","reconciliation"
"FIN-T-029","RECONCILING","RECONCILIATION-FAILED","reconciliation"
"FIN-T-030","RECONCILED","FINALITY-UNCLASSIFIED","finality"
"FIN-T-031","FINALITY-UNCLASSIFIED","PROVISIONAL","finality"
"FIN-T-032","FINALITY-UNCLASSIFIED","FINAL","finality"
"FIN-T-033","FINALITY-UNCLASSIFIED","REVERSIBLE","finality"
"FIN-T-034","FINALITY-UNCLASSIFIED","IRREVERSIBLE","finality"
"FIN-T-035","RECONCILED","CONTINUITY-UNCLASSIFIED","continuity"
"FIN-T-036","CONTINUITY-UNCLASSIFIED","CONTINUITY-PRESERVED","continuity"
"FIN-T-037","CONTINUITY-UNCLASSIFIED","CONTINUITY-DEGRADED","continuity"
"FIN-T-038","CONTINUITY-UNCLASSIFIED","CONTINUITY-BROKEN","continuity"
"FIN-T-039","CONTINUITY-UNCLASSIFIED","CONTINUITY-RECONSTRUCTED","continuity"
"FIN-T-040","CONTINUITY-UNCLASSIFIED","CONTINUITY-INDETERMINATE","continuity"
