"component_id","interface_id","relation"
"FI-CORE-001","FI-IF-001","PROVIDES"
"FI-CORE-002","FI-IF-002","PROVIDES"
"FI-CORE-003","FI-IF-003","PROVIDES"
"FI-CORE-004","FI-IF-004","PROVIDES"
"FI-EFF-001","FI-IF-005","PROVIDES"
"FI-EFF-002","FI-IF-006","PROVIDES"
"FI-SET-001","FI-IF-007","PROVIDES"
"FI-CMP-001","FI-IF-008","PROVIDES"
"FI-CMP-002","FI-IF-009","PROVIDES"
"FI-REV-001","FI-IF-010","PROVIDES"
"FI-REV-002","FI-IF-011","PROVIDES"
"FI-REC-001","FI-IF-012","PROVIDES"
"FI-REC-002","FI-IF-013","PROVIDES"
"FI-FIN-001","FI-IF-014","PROVIDES"
"FI-CNT-001","FI-IF-015","PROVIDES"
"FI-EVD-001","FI-IF-016","PROVIDES"
"FI-DST-001","FI-IF-017","PROVIDES"
"FI-DST-002","FI-IF-018","PROVIDES"
"FI-LED-001","FI-IF-019","PROVIDES"
"FI-LED-002","FI-IF-020","PROVIDES"
"FI-AST-001","FI-IF-021","PROVIDES"
"FI-PRG-001","FI-IF-022","PROVIDES"
"FI-PRG-002","FI-IF-023","PROVIDES"
"FI-JUR-001","FI-IF-024","PROVIDES"
"FI-JUR-002","FI-IF-025","PROVIDES"
"FI-AGT-001","FI-IF-026","PROVIDES"
"FI-AGT-002","FI-IF-027","PROVIDES"
"FI-AGT-003","FI-IF-028","PROVIDES"
