"claim_id","manuscript_claim","claim_class","source_id","source_surface"
"F1-MC-001","Complete knowledge plus strict non-empty proper economic-effect subset implies PARTIAL","FORMALLY-PROVED","F1-THM-EFF-001","F1_PROOF_DISCHARGE_REGISTRY.csv"
"F1-MC-002","Complete knowledge plus empty recognized effect implies NO-EFFECT","FORMALLY-PROVED","F1-THM-EFF-002","F1_PROOF_DISCHARGE_REGISTRY.csv"
"F1-MC-003","Complete knowledge plus complete recognized effect implies COMPLETED","FORMALLY-PROVED","F1-THM-EFF-003","F1_PROOF_DISCHARGE_REGISTRY.csv"
"F1-MC-004","Material knowledge deficit prevents determinate NO-EFFECT/PARTIAL/COMPLETED classification","FORMALLY-PROVED","F1-THM-EFF-004","F1_PROOF_DISCHARGE_REGISTRY.csv"
"F1-MC-005","Failure of the originating execution does not imply compensation authority","COUNTEREXAMPLE-DISCHARGED","F1-NEQ-CMP-002","F1_PROOF_DISCHARGE_REGISTRY.csv"
"F1-MC-006","Economic restoration after compensation does not imply historical identity","COUNTEREXAMPLE-DISCHARGED","F1-NEQ-CMP-004","F1_PROOF_DISCHARGE_REGISTRY.csv"
"F1-MC-007","Reversal eligibility does not imply reversal authority","COUNTEREXAMPLE-DISCHARGED","F1-NEQ-REV-002","F1_PROOF_DISCHARGE_REGISTRY.csv"
"F1-MC-008","Reconciled state does not imply continuity preservation","COUNTEREXAMPLE-DISCHARGED","F1-NEQ-REC-002","F1_PROOF_DISCHARGE_REGISTRY.csv"
"F1-MC-009","PRESERVED and RECONSTRUCTED are mutually exclusive for the same complete interval","FORMALLY-PROVED","F1-THM-CNT-003","F1_PROOF_DISCHARGE_REGISTRY.csv"
"F1-MC-010","Economic endpoint equivalence does not imply continuity preservation","COUNTEREXAMPLE-DISCHARGED","F1-NEQ-CNT-001","F1_PROOF_DISCHARGE_REGISTRY.csv"
"F1-MC-011","Independent compensation admission is enforced by the tested reference runtime","REFERENCE-RUNTIME-CONFORMANT","F1-SAFE-CMP-003","F1_RUNTIME_PROOF_CLOSURE.csv"
"F1-MC-012","Independent reversal admission is enforced by the tested reference runtime","REFERENCE-RUNTIME-CONFORMANT","F1-SAFE-REV-004","F1_RUNTIME_PROOF_CLOSURE.csv"
"F1-MC-013","The tested reference runtime preserves origin/reversal traceability","REFERENCE-RUNTIME-CONFORMANT","F1-TRACE-REV-006","F1_RUNTIME_PROOF_CLOSURE.csv"
"F1-MC-014","The tested reference runtime preserves reconciliation lineage","REFERENCE-RUNTIME-CONFORMANT","F1-TRACE-REC-006","F1_RUNTIME_PROOF_CLOSURE.csv"
"F1-MC-015","The tested reference runtime distinguishes reconstructed continuity from preserved continuity","REFERENCE-RUNTIME-CONFORMANT","F1-TRACE-CNT-007","F1_RUNTIME_PROOF_CLOSURE.csv"
