"operation_id","name","consequential","requires_admission"
"F1-OP-001","OBSERVE_EFFECT","NO","NO"
"F1-OP-002","CONTAIN","YES","POLICY_DEPENDENT"
"F1-OP-003","REQUIRE_COMPENSATION","NO","NO"
"F1-OP-004","ADMIT_COMPENSATION","NO","INHERITED_EVALUATION"
"F1-OP-005","EXECUTE_COMPENSATION","YES","YES"
"F1-OP-006","REQUIRE_REVERSAL","NO","NO"
"F1-OP-007","ADMIT_REVERSAL","NO","INHERITED_EVALUATION"
"F1-OP-008","EXECUTE_REVERSAL","YES","YES"
"F1-OP-009","REQUIRE_RECONCILIATION","NO","NO"
"F1-OP-010","RECONCILE","NO","NO"
"F1-OP-011","REQUEST_FINALITY_CLASSIFICATION","NO","NO"
"F1-OP-012","REQUEST_CONTINUITY_CLASSIFICATION","NO","NO"
"F1-OP-013","MARK_INDETERMINATE","NO","NO"
