"relation_id","statement","required"
"F1-REC-R001","Reconciled != Restored","YES"
"F1-REC-R002","Reconciled != Continuity Preserved","YES"
"F1-REC-R003","Reconciliation != Compensation","YES"
"F1-REC-R004","Reconciliation != Reversal","YES"
"F1-REC-R005","Reconciliation != Reconstruction","YES"
"F1-REC-R006","Known State != Legitimate State","YES"
"F1-REC-R007","Economic Equivalence != Historical Identity","YES"
"F1-REC-R008","Insufficient Evidence != Clean State","YES"
"F1-REC-R009","Reconciliation Failure != Indeterminacy","YES"
"F1-REC-R010","Terminal Balance != Complete Financial State","YES"
