"transition_id","from_state","action","to_state","consequential"
"F1-COMP-TR-001","R_COMPENSATION_REQUIRED","REQUEST_COMPENSATION_ADMISSION","R_COMPENSATION_ADMISSION_PENDING","NO"
"F1-COMP-TR-002","R_COMPENSATION_ADMISSION_PENDING","ADMISSION_GRANTED","R_COMPENSATING","NO"
"F1-COMP-TR-003","R_COMPENSATION_ADMISSION_PENDING","ADMISSION_DENIED","R_COMPENSATION_REQUIRED","NO"
"F1-COMP-TR-004","R_COMPENSATING","COMPENSATION_EXACT","R_COMPENSATED","YES"
"F1-COMP-TR-005","R_COMPENSATING","COMPENSATION_PARTIAL","R_REMEDIATION_PARTIAL","YES"
"F1-COMP-TR-006","R_COMPENSATING","COMPENSATION_OVER","R_REMEDIATION_FAILED","YES"
"F1-COMP-TR-007","R_COMPENSATING","COMPENSATION_WRONG_DIMENSION","R_REMEDIATION_FAILED","YES"
"F1-COMP-TR-008","R_COMPENSATING","COMPENSATION_NEW_DIVERGENCE","R_REMEDIATION_PARTIAL","YES"
"F1-COMP-TR-009","R_COMPENSATING","COMPENSATION_CONTRADICTORY","R_REMEDIATION_FAILED","YES"
"F1-COMP-TR-010","R_COMPENSATING","COMPENSATION_INDETERMINATE","R_REMEDIATION_INDETERMINATE","UNKNOWN_EFFECT"
"F1-COMP-TR-011","R_REMEDIATION_PARTIAL","REQUIRE_NEW_COMPENSATION","R_COMPENSATION_REQUIRED","NO"
