"transition_id","from","to","authority_required"
"F1-REV-T001","REVERSAL-NEED-UNASSESSED","REVERSAL-NOT-ELIGIBLE","NO"
"F1-REV-T002","REVERSAL-NEED-UNASSESSED","REVERSAL-ELIGIBLE","NO"
"F1-REV-T003","REVERSAL-ELIGIBLE","REVERSAL-NOT-REVERSIBLE","NO"
"F1-REV-T004","REVERSAL-ELIGIBLE","REVERSAL-REVERSIBLE","NO"
"F1-REV-T005","REVERSAL-REVERSIBLE","REVERSAL-PROPOSED","NO"
"F1-REV-T006","REVERSAL-PROPOSED","REVERSAL-AUTHORIZED","YES"
"F1-REV-T007","REVERSAL-AUTHORIZED","REVERSAL-ADMITTED","YES"
"F1-REV-T008","REVERSAL-ADMITTED","REVERSING","YES"
"F1-REV-T009","REVERSING","REVERSAL-NO-EFFECT","N/A"
"F1-REV-T010","REVERSING","REVERSAL-PARTIAL","N/A"
"F1-REV-T011","REVERSING","REVERSAL-COMPLETED","N/A"
"F1-REV-T012","REVERSING","REVERSAL-INDETERMINATE","N/A"
