"id","antecedent","consequent","status"
"F2-FIN-NI-001","Consensus","SettlementFinal","LOCKED"
"F2-FIN-NI-002","AuthorityComplete","SettlementFinal","LOCKED"
"F2-FIN-NI-003","Admissible_d","SettlementFinal","LOCKED"
"F2-FIN-NI-004","Executed","SettlementFinal","LOCKED"
"F2-FIN-NI-005","AtomicComplete","SettlementFinal","LOCKED"
"F2-FIN-NI-006","SettlementFinal","Irreversible","LOCKED"
"F2-FIN-NI-007","SettlementFinal","ContinuityPreserved","LOCKED"
"F2-FIN-NI-008","LocalFinal_D1","LocalFinal_D2","LOCKED"
"F2-FIN-NI-009","LocalFinal","CrossDomainFinal","LOCKED"
"F2-FIN-NI-010","TechnicalFinal","LegalFinal","LOCKED"
"F2-FIN-NI-011","LegalFinal","TechnicalFinal","LOCKED"
"F2-FIN-NI-012","LedgerIncluded","SettlementFinal","LOCKED"
"F2-FIN-NI-013","ConfirmationThresholdSatisfied","SettlementFinal","LOCKED"
"F2-FIN-NI-014","CompensationSuccess","OriginalSettlementFinal","LOCKED"
"F2-FIN-NI-015","LaterReversal","EarlierFinalityNeverExisted","LOCKED"
