"lhs","rhs","relation","status"
"agreement","consensus","NOT-EQUIVALENT","LOCKED-F2-01"
"consensus","authority","NOT-EQUIVALENT","LOCKED-F2-01"
"authority","admissibility","NOT-EQUIVALENT","LOCKED-F2-01"
"admissibility","execution","NOT-EQUIVALENT","LOCKED-F2-01"
"execution","settlement-finality","NOT-EQUIVALENT","LOCKED-F2-01"
"consensus","settlement-finality","NOT-EQUIVALENT","LOCKED-F2-01"
"validator-recognition","authority","NOT-EQUIVALENT","LOCKED-F2-01"
"signature","authority","NOT-EQUIVALENT","LOCKED-F2-01"
"key-possession","authority","NOT-EQUIVALENT","LOCKED-F2-01"
"quorum","authority","NOT-EQUIVALENT","LOCKED-F2-01"
"quorum","finality","NOT-EQUIVALENT","LOCKED-F2-01"
"ledger-inclusion","economic-finality","NOT-EQUIVALENT","LOCKED-F2-01"
"technical-finality","legal-irreversibility","NOT-EQUIVALENT","LOCKED-F2-01"
"atomic-intent","atomic-effect","NOT-EQUIVALENT","LOCKED-F2-01"
"multi-leg-completion","historical-continuity","NOT-EQUIVALENT","LOCKED-F2-01"
"distributed-agreement","jurisdictional-validity","NOT-EQUIVALENT","LOCKED-F2-01"
