"claim_id","claim_class","name","formal_statement","proof_method","required_evidence","inherited_basis","status"
"F1-DEF-001","DEFINITION","Partial Effect Definition","PartialEffect(e) => NOT NoEffect(e)","DEFINITIONAL","Effect signature and dimension comparison model","FIN-EFF-001; FIN-EFF-002","FORMALIZED_OPEN"
"F1-LEM-001","LEMMA","Partial Effect Excludes Zero Effect","For all e: PartialEffect(e) -> not ZeroEffect(e)","DIRECT_FROM_DEFINITIONS","F1 partial-effect classifier definitions","FIN-EFF-001","OPEN"
"F1-THM-001","THEOREM_NON_IMPLICATION","Compensation Requirement Does Not Create Authorization","CompensationRequired(e) does not imply CompensationAuthorized(e)","COUNTEREXAMPLE_PLUS_AUTHORITY_SEPARATION","Requirement state and absent/denied admission case","FIN-CMP-002; FIN-CMP-003; FIN-AUTH-001","OPEN"
"F1-THM-002","THEOREM_NON_IMPLICATION","Reversal Requirement Does Not Create Authorization","ReversalRequired(e) does not imply ReversalAuthorized(e)","COUNTEREXAMPLE_PLUS_AUTHORITY_SEPARATION","Requirement state and absent/denied admission case","FIN-REV-002; FIN-REV-003; FIN-AUTH-001","OPEN"
"F1-THM-003","THEOREM_NON_IMPLICATION","Exact Compensation Does Not Establish Historical Equivalence","ExactCompensation(c) does not imply HistoricalEquivalence(H_after,H_prior)","CONSTRUCTIVE_COUNTEREXAMPLE","History containing originating event plus exact compensation","FIN-CMP-004; FIN-EFF-004; FIN-REC-003","OPEN"
"F1-THM-004","THEOREM_NON_IMPLICATION","Exact Reversal Does Not Establish Historical Equivalence","ExactReversal(r) does not imply HistoricalEquivalence(H_after,H_prior)","CONSTRUCTIVE_COUNTEREXAMPLE","Prior-state projection restored while reversal history remains appended","FIN-REV-004; FIN-REV-005","OPEN"
"F1-THM-005","THEOREM_NON_IMPLICATION","Reconciliation Does Not Establish Preserved Continuity","Reconciled(H) does not imply ContinuityPreserved(H)","CONSTRUCTIVE_COUNTEREXAMPLE","Reconciled history containing a demonstrated continuity break","FIN-REC-001; FIN-CON-002","OPEN"
"F1-THM-006","THEOREM_NON_IMPLICATION","Functional Restoration Does Not Establish Preserved Continuity","FunctionalRestoration(X_t) does not imply ContinuityPreserved(H_t)","CONSTRUCTIVE_COUNTEREXAMPLE","Function restored after evidenced continuity break","FIN-REC-003; FIN-CON-003; FIN-CON-004","OPEN"
"F1-THM-007","THEOREM","Independent Admission of Consequential Remediation","For every remediation execution r: Consequential(r) -> (Admitted(r) OR NotExecutable(r))","STRUCTURAL_INDUCTION_OVER_REMEDIATION_DEPTH","Base execution rule plus recursive compensation/reversal transition structure","FIN-CMP-003; FIN-REV-003; FIN-EXE-001","OPEN"
"F1-LEM-002","LEMMA","Remediation Authority Does Not Propagate by Depth","For remediation parent p and child c: Authority(p) does not imply Authority(c)","COUNTEREXAMPLE_PLUS_DELEGATION_SEPARATION","Recursive remediation event with absent child admission","FIN-AUTH-002; FIN-AUTH-005; FIN-CMP-003; FIN-REV-003","OPEN"
"F1-THM-008","THEOREM_NON_IMPLICATION","Projected Economic Equivalence Does Not Establish Historical Equivalence","ProjectedEconomicEquivalence(X_a,X_b) does not imply HistoricalEquivalence(H_a,H_b)","CONSTRUCTIVE_COUNTEREXAMPLE","Equal selected projection with unequal execution histories","FIN-REV-005; FIN-REC-003; FIN-CON-004","OPEN"
"F1-THM-009","THEOREM_NON_IMPLICATION","Residual Resolution Does Not Establish Preserved Continuity","ResidualResolved(Rho_t) does not imply ContinuityPreserved(H_t)","CONSTRUCTIVE_COUNTEREXAMPLE","Resolved present residual after prior continuity break","FIN-CON-004; FIN-REC-001","OPEN"
"F1-THM-010","THEOREM","Historical Append Preservation Under Remediation","For remediation chain H_n and new remediation e_(n+1): H_(n+1) = Append(H_n,e_(n+1))","STRUCTURAL_INDUCTION","Remediation lineage model and event identity preservation","FIN-CMP-004; FIN-REV-004; FIN-EVD-004","OPEN"
"F1-SAF-001","SAFETY_PROPERTY","Indeterminate Effect Cannot Collapse To No Effect","IndeterminateEffect(e) -> NOT SafeToClassifyNoEffect(e)","DEFINITIONAL_SAFETY_ARGUMENT","Missing required effect evidence","FIN-EFF-005","OPEN"
"F1-SAF-002","SAFETY_PROPERTY","Contradictory Effect Cannot Collapse To Completion","ContradictoryEffect(e) -> NOT FullEffect(e)","DIRECT_FROM_CLASSIFICATION_PRECEDENCE","Effect signature containing contradictory dimension","FIN-EFF-003","OPEN"
"F1-SAF-003","SAFETY_PROPERTY","Known Continuity Break Survives Later Equivalence","ContinuityBroken(H_k) AND LaterEquivalentState(X_t,X_p) -> HistoricalBreakRemains(H_t)","HISTORY_APPEND_ARGUMENT","Prior break evidence plus later equivalent state","FIN-CON-004","OPEN"
