"case_id","condition","expected","rule"
"F2-CONF-CASE-001","Two observations differ only by valid evaluation time","NO-SUBSTANTIVE-CONFLICT","Temporal mismatch alone is not contradiction."
"F2-CONF-CASE-002","Two observations differ only by valid scope","NO-SUBSTANTIVE-CONFLICT","Scope mismatch must be evaluated before conflict."
"F2-CONF-CASE-003","Two effect histories are mutually incompatible","EFFECT-CONFLICT","Reconciliation required."
"F2-CONF-CASE-004","Largest branch has no governing precedence rule","NO-CANONICAL-SELECTION","Size cannot manufacture canonicality."
"F2-CONF-CASE-005","Consensus exists on one branch but authority provenance invalid","NOT-AUTO-RECONCILED","Consensus cannot cure authority defect."
"F2-CONF-CASE-006","Material conflict resolved by explicit governing rule","RECONCILED","Historical conflict remains evidenced."
"F2-CONF-CASE-007","Conflict remains but is non-blocking for scoped decision","RECONCILED-WITH-RESIDUAL-CONFLICT","Residual conflict retained."
"F2-CONF-CASE-008","Evidence chain incomplete","RECONSTRUCTION-REQUIRED","Cannot fabricate missing execution history."
"F2-CONF-CASE-009","Current authority or finality evidence stale","REVALIDATION-REQUIRED","Historical validity does not establish current validity."
"F2-CONF-CASE-010","Well-evidenced conflict has no governing resolution rule","UNRESOLVED","Unresolved is not indeterminate."
