"proof_obligation_id","invariant_id","family","first_major_paper","initial_status"
"PO-FIN-AUTH-001","FIN-AUTH-001","FIN-AUTH","FOUNDATION","OPEN"
"PO-FIN-AUTH-002","FIN-AUTH-002","FIN-AUTH","FOUNDATION","OPEN"
"PO-FIN-AUTH-003","FIN-AUTH-003","FIN-AUTH","FOUNDATION/F8","OPEN"
"PO-FIN-AUTH-004","FIN-AUTH-004","FIN-AUTH","F5","OPEN"
"PO-FIN-AUTH-005","FIN-AUTH-005","FIN-AUTH","F8","OPEN"
"PO-FIN-ADM-001","FIN-ADM-001","FIN-ADM","FOUNDATION","OPEN"
"PO-FIN-ADM-002","FIN-ADM-002","FIN-ADM","FOUNDATION","OPEN"
"PO-FIN-ADM-003","FIN-ADM-003","FIN-ADM","FOUNDATION","OPEN"
"PO-FIN-ADM-004","FIN-ADM-004","FIN-ADM","FOUNDATION","OPEN"
"PO-FIN-ADM-005","FIN-ADM-005","FIN-ADM","FOUNDATION","OPEN"
"PO-FIN-EXE-001","FIN-EXE-001","FIN-EXE","FOUNDATION","OPEN"
"PO-FIN-EXE-002","FIN-EXE-002","FIN-EXE","FOUNDATION","OPEN"
"PO-FIN-EXE-003","FIN-EXE-003","FIN-EXE","FOUNDATION","OPEN"
"PO-FIN-EXE-004","FIN-EXE-004","FIN-EXE","F1/F3","OPEN"
"PO-FIN-EXE-005","FIN-EXE-005","FIN-EXE","FOUNDATION","OPEN"
"PO-FIN-EFF-001","FIN-EFF-001","FIN-EFF","F1","OPEN"
"PO-FIN-EFF-002","FIN-EFF-002","FIN-EFF","F1","OPEN"
"PO-FIN-EFF-003","FIN-EFF-003","FIN-EFF","F1","OPEN"
"PO-FIN-EFF-004","FIN-EFF-004","FIN-EFF","F1/F3","OPEN"
"PO-FIN-EFF-005","FIN-EFF-005","FIN-EFF","F1","OPEN"
"PO-FIN-SET-001","FIN-SET-001","FIN-SET","F1","OPEN"
"PO-FIN-SET-002","FIN-SET-002","FIN-SET","F1","OPEN"
"PO-FIN-SET-003","FIN-SET-003","FIN-SET","F1","OPEN"
"PO-FIN-SET-004","FIN-SET-004","FIN-SET","F3","OPEN"
