"interface_id","name","provider","input_contract","output_contract"
"FI-IF-001","CanonicalizeFinancialEvent","FI-CORE-001","source financial event","FinancialExecutionEvent"
"FI-IF-002","ResolveAuthorityBinding","FI-CORE-002","event + authority + principal","resolved authority binding"
"FI-IF-003","EvaluateCurrentAdmissibility","FI-CORE-003","event + state + authority","ADMIT|BLOCK|INDETERMINATE"
"FI-IF-004","ControlConsequentialBoundary","FI-CORE-004","execution attempt + admission","permit|governed block"
"FI-IF-005","ClassifyEffectOutcome","FI-EFF-001","expected effect + observed state","NO-EFFECT|PARTIAL|COMPLETED|INDETERMINATE"
"FI-IF-006","DetectPartialEffect","FI-EFF-002","expected effect + observed delta","PartialEffect determination"
"FI-IF-007","UpdateSettlementState","FI-SET-001","SettlementObject + classified effect","SettlementState"
"FI-IF-008","AssessCompensationRequirement","FI-CMP-001","partial effect + economic state","required|not-required"
"FI-IF-009","EvaluateCompensationAdmission","FI-CMP-002","CompensationInstruction + current state","ADMIT|BLOCK|INDETERMINATE"
"FI-IF-010","AssessReversalEligibility","FI-REV-001","settlement + state + history","eligible|not-eligible"
"FI-IF-011","EvaluateReversalAdmission","FI-REV-002","ReversalInstruction + current state","ADMIT|BLOCK|INDETERMINATE"
"FI-IF-012","ReconcileFinancialState","FI-REC-001","state + settlement + evidence","RECONCILED|RECONCILIATION-FAILED"
"FI-IF-013","ReconstructFinancialHistory","FI-REC-002","evidence + lineage","reconstructed history"
"FI-IF-014","ClassifyFinality","FI-FIN-001","settlement + state + governing rules","PROVISIONAL|FINAL|REVERSIBLE|IRREVERSIBLE"
"FI-IF-015","ClassifyEconomicContinuity","FI-CNT-001","history + evidence + state","continuity classification"
"FI-IF-016","RecordFinancialEvidence","FI-EVD-001","event + decision + effect + state","EvidenceObject"
"FI-IF-017","ReconcileMultiPartyAuthority","FI-DST-001","participant authority states","distributed authority reconciliation"
"FI-IF-018","CoordinateDistributedSettlement","FI-DST-002","settlement + participants + dependencies","coordinated settlement state"
"FI-IF-019","MapLedgerAdmission","FI-LED-001","ledger transaction + ledger state","financial governance admission request"
"FI-IF-020","SeparateConsensusAndAuthority","FI-LED-002","consensus + transaction + authority","consensus/authority classification"
"FI-IF-021","EvaluateCustodyAuthority","FI-AST-001","asset + custody + wallet + key + authority","custody-authority determination"
"FI-IF-022","EvaluateProgrammableExecution","FI-PRG-001","contract + state + authority","ADMIT|BLOCK|INDETERMINATE"
"FI-IF-023","ResolveOracleIntegrity","FI-PRG-002","oracle + contract state","validated oracle state"
"FI-IF-024","ResolveJurisdictionState","FI-JUR-001","event + state + governing references","JurisdictionState"
"FI-IF-025","ResolveJurisdictionConflict","FI-JUR-002","jurisdiction states + authority + policy","constraint set|BLOCK|INDETERMINATE"
"FI-IF-026","ResolveEconomicPrincipal","FI-AGT-001","agent + event + delegation","principal binding"
"FI-IF-027","ResolveDelegatedEconomicAuthority","FI-AGT-002","principal + agent + delegation + authority","delegated authority envelope"
"FI-IF-028","SubmitMachineOriginatedExecution","FI-AGT-003","agent + event + authority binding","canonical execution request"
