Transition_ID,Domain,From_State,To_State,Status
F3-T-001,OBLIGATION,OBLIGATION_OPEN,OBLIGATION_PARTIAL,FORMALIZED
F3-T-002,OBLIGATION,OBLIGATION_PARTIAL,OBLIGATION_SATISFIED,FORMALIZED
F3-T-003,OBLIGATION,OBLIGATION_SATISFIED,OBLIGATION_REOPENED,FORMALIZED
F3-T-004,CUSTODY,CUSTODY_UNESTABLISHED,CUSTODY_HELD,FORMALIZED
F3-T-005,CUSTODY,CUSTODY_HELD,CUSTODY_TRANSFER_PENDING,FORMALIZED
F3-T-006,CUSTODY,CUSTODY_TRANSFER_PENDING,CUSTODY_TRANSFER_PARTIAL,FORMALIZED
F3-T-007,CUSTODY,CUSTODY_TRANSFER_PENDING,CUSTODY_TRANSFER_COMPLETE,FORMALIZED
F3-T-008,CUSTODY,CUSTODY_TRANSFER_PARTIAL,CUSTODY_TRANSFER_COMPLETE,FORMALIZED
F3-T-009,CUSTODY,CUSTODY_TRANSFER_COMPLETE,CUSTODY_CONFLICTED,FORMALIZED
F3-T-010,FINALITY,FINALITY_NOT_EVALUATED,FINALITY_INELIGIBLE,FORMALIZED
F3-T-011,FINALITY,FINALITY_NOT_EVALUATED,FINALITY_PENDING,FORMALIZED
F3-T-012,FINALITY,FINALITY_PENDING,FINALITY_LOCAL,FORMALIZED
F3-T-013,FINALITY,FINALITY_LOCAL,FINALITY_DOMAIN_COMPLETE,FORMALIZED
F3-T-014,FINALITY,FINALITY_PENDING,FINALITY_CONFLICTED,FORMALIZED
F3-T-015,FINALITY,FINALITY_LOCAL,FINALITY_CONFLICTED,FORMALIZED
F3-T-016,FINALITY,FINALITY_DOMAIN_COMPLETE,FINALITY_REOPENED,FORMALIZED
F3-T-017,FINALITY,FINALITY_DOMAIN_COMPLETE,FINALITY_INVALIDATED,FORMALIZED
F3-T-018,FINALITY,FINALITY_REOPENED,FINALITY_PENDING,FORMALIZED
F3-T-019,FINALITY,FINALITY_INVALIDATED,FINALITY_HISTORICAL,FORMALIZED
F3-T-020,CLOSURE,CLOSURE_OPEN,CLOSURE_PENDING,FORMALIZED
F3-T-021,CLOSURE,CLOSURE_PENDING,CLOSURE_ELIGIBLE,FORMALIZED
F3-T-022,CLOSURE,CLOSURE_ELIGIBLE,CLOSURE_COMPLETE,FORMALIZED
F3-T-023,CLOSURE,CLOSURE_COMPLETE,CLOSURE_REOPENED,FORMALIZED
F3-T-024,CLOSURE,CLOSURE_COMPLETE,CLOSURE_CONFLICTED,FORMALIZED
F3-T-025,CLOSURE,CLOSURE_COMPLETE,CLOSURE_INVALIDATED,FORMALIZED
