"proof_id","invariant_id","proof_class","title","proof_burden","applies_to","inherited_from","first_paper","status","formal_artifact","runtime_artifact","counterexample","evidence_reference"
"FIN-PO-001","FIN-OBJ-001","NON-EQUIVALENCE","Ownership Is Not Authority","Establish invariant FIN-OBJ-001 'Ownership Is Not Authority' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","All financial resources and actors","UAA + FIN-ARCH-03","FOUNDATION","OPEN","","","",""
"FIN-PO-002","FIN-OBJ-002","NON-EQUIVALENCE","Control Is Not Authority","Prove that operational, custodial, cryptographic, or technical control is insufficient to establish execution authority.","Accounts, assets, wallets, keys, custody systems","UAA + FIN-ARCH-03","F5","OPEN","","","",""
"FIN-PO-003","FIN-OBJ-003","NON-EQUIVALENCE","Economic Equivalence Is Not Historical Equivalence","Prove that economic-state equivalence, including equality of relevant balances after compensation or reversal, does not imply historical-state identity.","Settlement, compensation, reversal, reconstruction","FIN-ARCH-04","F1","OPEN","","","",""
"FIN-PO-004","FIN-OBJ-004","NON-EQUIVALENCE","Evidence Is Not Authority","Establish invariant FIN-OBJ-004 'Evidence Is Not Authority' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","All evidence-bearing financial systems","UAA","FOUNDATION","OPEN","","","",""
"FIN-PO-005","FIN-AUTH-001","SAFETY","No Default Financial Authority","Establish invariant FIN-AUTH-001 'No Default Financial Authority' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","All financial execution events","UAA","DEI","OPEN","","","",""
"FIN-PO-006","FIN-AUTH-002","SAFETY","Current Authority Required","Establish invariant FIN-AUTH-002 'Current Authority Required' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","All consequential transitions","UAA + AOMS + DEI","DEI","OPEN","","","",""
"FIN-PO-007","FIN-AUTH-003","SAFETY","Delegation Cannot Expand Authority","Prove monotonic non-expansion of delegated financial authority: no descendant delegation may possess a scope exceeding its authoritative ancestor.","Delegated and autonomous execution","UAA + EIP","F8","OPEN","","","",""
"FIN-PO-008","FIN-AUTH-004","NON-EQUIVALENCE","Historical Authority Does Not Persist Automatically","Establish invariant FIN-AUTH-004 'Historical Authority Does Not Persist Automatically' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","All financial executions","AOMS + UAA","DEI","OPEN","","","",""
"FIN-PO-009","FIN-ADM-001","SAFETY","Admission Required Before Effectuation","Establish invariant FIN-ADM-001 'Admission Required Before Effectuation' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","All executions","UAA + UES + DEI","DEI","OPEN","","","",""
"FIN-PO-010","FIN-ADM-002","SAFETY","Admission Is Attempt-Specific","Establish invariant FIN-ADM-002 'Admission Is Attempt-Specific' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Repeated or retried executions","UAA","DEI","OPEN","","","",""
"FIN-PO-011","FIN-ADM-003","SAFETY","Indeterminate Admission Fails Closed","Establish invariant FIN-ADM-003 'Indeterminate Admission Fails Closed' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","All execution boundaries","UAA","DEI","OPEN","","","",""
"FIN-PO-012","FIN-ADM-004","SAFETY","State Mutation Requires Revalidation","Establish invariant FIN-ADM-004 'State Mutation Requires Revalidation' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Policy, authority, resource, counterparty, environment, jurisdiction state","AOMS + DEI","F2","OPEN","","","",""
"FIN-PO-013","FIN-EFF-001","SAFETY","No Effect on Pre-Effect Block","Establish invariant FIN-EFF-001 'No Effect on Pre-Effect Block' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Pre-effect refusal","UAA + UES","DEI","OPEN","","","",""
"FIN-PO-014","FIN-EFF-002","THEOREM","Effect Must Be Classified","Prove that every execution crossing the consequential effectuation boundary admits exactly one immediate effect classification among NO-EFFECT, PARTIAL, COMPLETED, and INDETERMINATE under the defined observation model.","All executions","FIN-ARCH-04","F1","OPEN","","","",""
"FIN-PO-015","FIN-EFF-003","NON-EQUIVALENCE","Partial Effect Must Not Collapse Into Failure","Establish invariant FIN-EFF-003 'Partial Effect Must Not Collapse Into Failure' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Post-effect settlement","FIN-ARCH-04","F1","OPEN","","","",""
"FIN-PO-016","FIN-EFF-004","TRACEABILITY","Effect History Is Append-Only","Prove that once a consequential financial effect occurs, subsequent compensation, reversal, reconciliation, or reconstruction preserves evidence of the original effect in the historical execution lineage.","Post-effect processing","POB + FIN-ARCH-04","F1","OPEN","","","",""
"FIN-PO-017","FIN-SET-001","THEOREM","Settlement Requires Current Admission","Establish invariant FIN-SET-001 'Settlement Requires Current Admission' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Settlement execution","UES + DEI","DEI","OPEN","","","",""
"FIN-PO-018","FIN-SET-002","THEOREM","Settlement State Must Be Explicit","Establish invariant FIN-SET-002 'Settlement State Must Be Explicit' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Settlement lifecycle","FIN-ARCH-04","F1","OPEN","","","",""
"FIN-PO-019","FIN-SET-003","NON-EQUIVALENCE","Settlement Completion Is Not Finality","Prove that completed settlement effect is not sufficient to establish settlement finality.","Settlement completion","FIN-ARCH-04","F3","OPEN","","","",""
"FIN-PO-020","FIN-SET-004","NON-EQUIVALENCE","Settlement Finality Is Not Continuity","Establish invariant FIN-SET-004 'Settlement Finality Is Not Continuity' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Finalized settlement","FIN-ARCH-04","F3","OPEN","","","",""
"FIN-PO-021","FIN-CMP-001","THEOREM","Compensation Is New Execution","Prove that a compensation operation is representationally and causally distinct from the originating execution and therefore constitutes a new financially consequential execution event.","Compensation","FIN-ARCH-04","F1","OPEN","","","",""
"FIN-PO-022","FIN-CMP-002","SAFETY","No Self-Authorization From Failure","Prove that compensation authority cannot be derived solely from the failure, partial effect, invalidity, or existence of the originating execution.","Compensation","UAA + FIN-ARCH-04","F1","OPEN","","","",""
"FIN-PO-023","FIN-CMP-003","SAFETY","Compensation Requires Independent Admission","Prove that a compensating execution cannot cross its consequential effectuation boundary unless its own current authority, scope, admissibility, and execution-boundary requirements are satisfied.","Compensation","UAA + FIN-ARCH-04","F1","OPEN","","","",""
"FIN-PO-024","FIN-CMP-004","NON-EQUIVALENCE","Compensation Does Not Erase Original Effect","Prove that successful compensation does not imply historical non-occurrence of the original economic effect.","Compensated state","FIN-ARCH-04","F1","OPEN","","","",""
"FIN-PO-025","FIN-REV-001","SAFETY","Reversal Is New Execution","Establish invariant FIN-REV-001 'Reversal Is New Execution' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Reversal","FIN-ARCH-04","F1","OPEN","","","",""
"FIN-PO-026","FIN-REV-002","NON-EQUIVALENCE","Eligibility Is Not Authority","Establish invariant FIN-REV-002 'Eligibility Is Not Authority' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Reversal","UAA + FIN-ARCH-04","F1","OPEN","","","",""
"FIN-PO-027","FIN-REV-003","SAFETY","Reversal Requires Independent Admission","Establish invariant FIN-REV-003 'Reversal Requires Independent Admission' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Reversal","UAA + FIN-ARCH-04","F1","OPEN","","","",""
"FIN-PO-028","FIN-REV-004","NON-EQUIVALENCE","Reversal Does Not Erase History","Prove that successful reversal does not imply historical non-occurrence or erasure of the original execution.","Reversed state","FIN-ARCH-04","F1","OPEN","","","",""
"FIN-PO-029","FIN-REC-001","THEOREM","Post-Effect Ambiguity Requires Reconciliation","Establish invariant FIN-REC-001 'Post-Effect Ambiguity Requires Reconciliation' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Post-effect state","FIN-ARCH-04","F1","OPEN","","","",""
"FIN-PO-030","FIN-REC-002","NON-EQUIVALENCE","Reconciliation Is Not Restoration","Establish invariant FIN-REC-002 'Reconciliation Is Not Restoration' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Reconciled state","POB + FIN-ARCH-04","F3","OPEN","","","",""
"FIN-PO-031","FIN-REC-003","THEOREM","Reconstruction Requires Evidence","Establish invariant FIN-REC-003 'Reconstruction Requires Evidence' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Reconstruction","POB","F3","OPEN","","","",""
"FIN-PO-032","FIN-REC-004","NON-EQUIVALENCE","Reconstructed State Must Be Marked","Prove that reconstructed financial state remains distinguishable from uninterrupted preserved financial state.","Reconstructed state","POB + FIN-ARCH-04","F3","OPEN","","","",""
"FIN-PO-033","FIN-FIN-001","THEOREM","Finality Requires Explicit Classification","Establish invariant FIN-FIN-001 'Finality Requires Explicit Classification' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Settlement and ledger state","FIN-ARCH-04","F3","OPEN","","","",""
"FIN-PO-034","FIN-FIN-002","NON-EQUIVALENCE","Final Is Not Necessarily Irreversible","Prove that a state classified FINAL is not necessarily IRREVERSIBLE under the financial execution model.","Finality","FIN-ARCH-04","F3","OPEN","","","",""
"FIN-PO-035","FIN-FIN-003","NON-EQUIVALENCE","Technical Finality Is Not Governance Validity","Prove that technical finality, including ledger or settlement finality, does not independently establish governance validity or execution authority.","Settlement and distributed ledgers","UAA + FIN-ARCH-04","F4","OPEN","","","",""
"FIN-PO-036","FIN-FIN-004","NON-EQUIVALENCE","Finality Does Not Erase Prior Invalidity","Establish invariant FIN-FIN-004 'Finality Does Not Erase Prior Invalidity' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Post-effect validation","UAA + DEI","F3","OPEN","","","",""
"FIN-PO-037","FIN-CNT-001","THEOREM","Continuity Must Be Classified Independently","Establish invariant FIN-CNT-001 'Continuity Must Be Classified Independently' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","All consequential execution","EIP + FIN-ARCH-04","F3","OPEN","","","",""
"FIN-PO-038","FIN-CNT-002","NON-EQUIVALENCE","Recovered Function Is Not Preserved Continuity","Prove that restoration of financial functionality is insufficient to establish preserved execution continuity.","Recovery","EIP + POB","F3","OPEN","","","",""
"FIN-PO-039","FIN-CNT-003","NON-EQUIVALENCE","Reconstructed Continuity Is Distinct","Prove that reconstructed continuity remains formally distinguishable from uninterrupted preserved continuity.","Reconstruction","EIP + POB","F3","OPEN","","","",""
"FIN-PO-040","FIN-CNT-004","COUNTEREXAMPLE","Continuity Cannot Be Inferred From Balance Equality","Construct a valid financial history in which resulting balances are equal while execution continuity was broken, proving balance equality insufficient for continuity classification.","Settlement recovery","FIN-ARCH-04","F3","OPEN","","","",""
"FIN-PO-041","FIN-EVD-001","TRACEABILITY","Every Consequential Outcome Requires Evidence","Establish invariant FIN-EVD-001 'Every Consequential Outcome Requires Evidence' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","All execution outcomes","POB + DEI","F1","OPEN","","","",""
"FIN-PO-042","FIN-EVD-002","TRACEABILITY","Evidence Provenance Must Be Preserved","Establish invariant FIN-EVD-002 'Evidence Provenance Must Be Preserved' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Evidence","POB","DEI","OPEN","","","",""
"FIN-PO-043","FIN-EVD-003","NON-EQUIVALENCE","Refusal Must Be Distinguishable","Prove that governed financial refusal remains observably distinguishable from unattempted execution, crash, network failure, and missing execution evidence.","Blocked financial execution","POB + DEI","DEI","OPEN","","","",""
"FIN-PO-044","FIN-EVD-004","TRACEABILITY","Evidence Mutation Must Be Detectable","Establish invariant FIN-EVD-004 'Evidence Mutation Must Be Detectable' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Evidence stores","POB","F3","OPEN","","","",""
"FIN-PO-045","FIN-DST-001","SAFETY","No Implicit Authority From Participation","Establish invariant FIN-DST-001 'No Implicit Authority From Participation' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Clearing, settlement, distributed execution","UAA","F2","OPEN","","","",""
"FIN-PO-046","FIN-DST-002","NON-EQUIVALENCE","Consensus Is Not Authority","Prove that consensus-valid or replicated-agreement-valid execution can remain governance-inadmissible and that consensus alone is insufficient to establish execution authority.","Distributed ledgers and multiparty systems","FIN-ARCH-03","F4","OPEN","","","",""
"FIN-PO-047","FIN-DST-003","SAFETY","Remote State Change Must Be Reconciled","Establish invariant FIN-DST-003 'Remote State Change Must Be Reconciled' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Multiparty settlement","AOMS + DEI","F2","OPEN","","","",""
"FIN-PO-048","FIN-DST-004","SAFETY","Distributed Completion Requires State Agreement","Establish invariant FIN-DST-004 'Distributed Completion Requires State Agreement' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Clearing and settlement","FIN-ARCH-04","F2","OPEN","","","",""
"FIN-PO-049","FIN-JUR-001","SAFETY","Jurisdiction Is Execution State","Establish invariant FIN-JUR-001 'Jurisdiction Is Execution State' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Cross-border financial execution","DEI + FIN-ARCH-03","F7","OPEN","","","",""
"FIN-PO-050","FIN-JUR-002","SAFETY","Jurisdiction Change Requires Re-evaluation","Establish invariant FIN-JUR-002 'Jurisdiction Change Requires Re-evaluation' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Cross-jurisdiction execution","DEI","F7","OPEN","","","",""
"FIN-PO-051","FIN-JUR-003","SAFETY","Conflict Cannot Be Silently Resolved","Prove that conflicting jurisdictional constraints cannot silently collapse into a permissive execution decision.","Cross-jurisdiction execution","UAA + FIN-ARCH-03","F7","OPEN","","","",""
"FIN-PO-052","FIN-JUR-004","SAFETY","Authority Must Remain Valid In Current Jurisdiction","Establish invariant FIN-JUR-004 'Authority Must Remain Valid In Current Jurisdiction' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Cross-border execution","UAA + DEI","F7","OPEN","","","",""
"FIN-PO-053","FIN-AGT-001","NON-EQUIVALENCE","Agent Capability Is Not Economic Authority","Establish invariant FIN-AGT-001 'Agent Capability Is Not Economic Authority' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Autonomous agents","UAA","F8","OPEN","","","",""
"FIN-PO-054","FIN-AGT-002","TRACEABILITY","Agent Must Bind To Principal","Prove that every delegated machine financial authority remains traceably bound to a recognized principal or explicit authoritative source across the complete delegation chain.","Agentic financial execution","UAA + EIP","F8","OPEN","","","",""
"FIN-PO-055","FIN-AGT-003","SAFETY","Agent Cannot Self-Expand Authority","Prove that an autonomous economic agent cannot increase its own financial execution authority through planning, recursion, subordinate-agent creation, wallet creation, delegation, or acquisition of additional capability.","Autonomous agents","UAA + EIP + AOMS","F8","OPEN","","","",""
"FIN-PO-056","FIN-AGT-004","SAFETY","Machine-Originated Execution Requires Current Admission","Establish invariant FIN-AGT-004 'Machine-Originated Execution Requires Current Admission' under its stated applicability conditions and inherited architectural assumptions; demonstrate that the forbidden violating state or semantic collapse cannot be accepted as conformant.","Autonomous economic execution","UAA + DEI","F8","OPEN","","","",""
"FIN-PO-X001","FIN-AUTH-003","THEOREM","Delegation Attenuation","Formalize and prove that financial delegation is monotone non-expansive across arbitrary finite delegation depth.","Delegated financial authority","UAA + EIP","F8","OPEN","","","",""
