"transition_id","from_state","action","to_state","consequential"
"F1-REV-TR-001","R_REVERSAL_REQUIRED","REQUEST_REVERSAL_ADMISSION","R_REVERSAL_ADMISSION_PENDING","NO"
"F1-REV-TR-002","R_REVERSAL_ADMISSION_PENDING","REVERSAL_ADMISSION_GRANTED","R_REVERSING","NO"
"F1-REV-TR-003","R_REVERSAL_ADMISSION_PENDING","REVERSAL_ADMISSION_DENIED","R_REVERSAL_REQUIRED","NO"
"F1-REV-TR-004","R_REVERSING","REVERSAL_EXACT","R_REVERSED","YES"
"F1-REV-TR-005","R_REVERSING","REVERSAL_PARTIAL","R_REMEDIATION_PARTIAL","YES"
"F1-REV-TR-006","R_REVERSING","REVERSAL_OVER","R_REMEDIATION_FAILED","YES"
"F1-REV-TR-007","R_REVERSING","REVERSAL_WRONG_OBJECT","R_REMEDIATION_FAILED","YES"
"F1-REV-TR-008","R_REVERSAL_REQUIRED","REVERSAL_STALE_TARGET","R_REMEDIATION_FAILED","NO"
"F1-REV-TR-009","R_REVERSAL_REQUIRED","REVERSAL_NON_REVERSIBLE","R_REMEDIATION_FAILED","NO"
"F1-REV-TR-010","R_REVERSAL_REQUIRED","REVERSAL_INTERVENING_CONFLICT","R_REMEDIATION_FAILED","NO"
"F1-REV-TR-011","R_REVERSING","REVERSAL_NEW_DIVERGENCE","R_REMEDIATION_PARTIAL","YES"
"F1-REV-TR-012","R_REVERSING","REVERSAL_CONTRADICTORY","R_REMEDIATION_FAILED","YES"
"F1-REV-TR-013","R_REVERSING","REVERSAL_INDETERMINATE","R_REMEDIATION_INDETERMINATE","UNKNOWN_EFFECT"
"F1-REV-TR-014","R_REMEDIATION_PARTIAL","REQUIRE_NEW_REVERSAL","R_REVERSAL_REQUIRED","NO"
"F1-REV-TR-015","R_REMEDIATION_PARTIAL","SWITCH_TO_COMPENSATION","R_COMPENSATION_REQUIRED","NO"
