"case_id","history","terminal_relation","break","reconstruction","expected","key_property"
"F1-CNT-X001","Authorized execution completes without continuity-relevant violation","EXPECTED","NO","NO","PRESERVED","Canonical preserved path"
"F1-CNT-X002","Temporary profile-bounded impairment occurs but no qualifying continuity break","EXPECTED","NO-QUALIFYING","NO","DEGRADED","Degradation separated from breakage"
"F1-CNT-X003","Partial settlement breaks required obligation relation and remains unresolved","INVALID","YES","NO","BROKEN","Unresolved continuity break"
"F1-CNT-X004","Partial settlement breaks continuity; later compensation restores equivalent balances and accepted relation","ECONOMICALLY-EQUIVALENT","YES","YES","RECONSTRUCTED","Same economic endpoint does not mean preserved"
"F1-CNT-X005","Original effect breaks continuity; later reversal returns balances to exact original values","IDENTICAL-BALANCES","YES","YES","RECONSTRUCTED","Reversal cannot retroactively create preservation"
"F1-CNT-X006","Current state reconciled but evidence proves earlier continuity break with no reconstruction","RECONCILED","YES","NO","BROKEN","Reconciled does not mean preserved"
"F1-CNT-X007","Terminal state appears correct but one continuity-relevant interval lacks evidence","EXPECTED","UNKNOWN","UNKNOWN","INDETERMINATE","Endpoint correctness insufficient"
"F1-CNT-X008","Financial functionality resumes after interruption but required obligation lineage was broken","FUNCTIONAL","YES","NO","BROKEN","Functional recovery is not continuity preservation"
"F1-CNT-X009","Two histories have equal final balances; one was uninterrupted and one required compensation","SAME-ECONOMIC-STATE","MIXED","MIXED","DIFFERENT-CONTINUITY-CLASSIFICATIONS","Endpoint non-sufficiency counterexample"
"F1-CNT-X010","Evidence cannot determine whether external commitment caused a continuity break before recovery","EXPECTED","UNKNOWN","POSSIBLE","INDETERMINATE","Unknown break cannot be classified preserved"
