"relative_path","bytes","sha256","freeze_pass","freeze_version"
".gitignore","406","D40323DF7B56251BA8E3FB398F6F0A7AA437B791CBBD55E37367008ABC05D027","FIN-ARCH-09","v0.1.0-architecture-freeze"
"01-inherited\AOMS_BINDING.md","574","F7C32432EA6CA560919156C07592642D89B9488FB0CC5207C10F508EE0528418","FIN-ARCH-09","v0.1.0-architecture-freeze"
"01-inherited\BANKING_LAB_BINDING.md","929","4D5978E95215A2F269CF806F53E211A4EBE054B5A1CF2C04FDA2638DA0B1F9FB","FIN-ARCH-09","v0.1.0-architecture-freeze"
"01-inherited\DEI_BINDING.md","725","896996C24003492A2B3353D00E7AD12EBCC31D9DCE0B04C952348F5DF596F2B8","FIN-ARCH-09","v0.1.0-architecture-freeze"
"01-inherited\EIP_BINDING.md","550","C8BBA668C5590AACF51A17599FAA70A13450C1F9CEEA13F75585377E45F5245C","FIN-ARCH-09","v0.1.0-architecture-freeze"
"01-inherited\INHERITED_ARCHITECTURE_INDEX.md","4786","4297148DB1043CC789EBE66DC7A0391D1D12DE9E0E30DB4A09FE0FD759718338","FIN-ARCH-09","v0.1.0-architecture-freeze"
"01-inherited\INHERITED_BASELINE_REGISTRY.csv","2776","6CC5ECF7D6DE4401BB14F1BAA7406C6A35229ED745BC9C863F02747414238495","FIN-ARCH-09","v0.1.0-architecture-freeze"
"01-inherited\MORNING_STAR_FINANCE_BINDING.md","549","A49E15F2D2E7FBE1B3803EE4A7F5466AE4A6DFDB06B35309899271159380E8B9","FIN-ARCH-09","v0.1.0-architecture-freeze"
"01-inherited\POB_BINDING.md","503","CD1099D2C39910D824B129079288C22216350058BB017C95C3AA350F37456B87","FIN-ARCH-09","v0.1.0-architecture-freeze"
"01-inherited\UAA_BINDING.md","772","81CDBCE70689E4769AAC823F1CE313D6134CBC0C147A1D3FF5C671587C59D9BD","FIN-ARCH-09","v0.1.0-architecture-freeze"
"01-inherited\UES_BINDING.md","911","68D4595F20CA9A2E1494E492BC16D706C14C6AFE776BF40CE90CCA34FAC262CB","FIN-ARCH-09","v0.1.0-architecture-freeze"
"02-core\components\CANONICAL_FINANCIAL_COMPONENT_ARCHITECTURE.md","2917","251BD9D8084A37B5A01EC8C624E470FFEA314DEDA79F7EACCE883B321B4A8BEE","FIN-ARCH-09","v0.1.0-architecture-freeze"
"02-core\components\FIN-COMP-001_Authority_Resolution_Adapter.md","847","AB3C730FB034302AA4F861836B8F185FB836E1044CB42FEA7FC1374033C2EBB6","FIN-ARCH-09","v0.1.0-architecture-freeze"
"02-core\components\FIN-COMP-002_Financial_Admission_Evaluator.md","854","184744E1FC2BAF2F33EE05C3FB4888C7C60D48FAEBEDEEC8FD09995A13EED412","FIN-ARCH-09","v0.1.0-architecture-freeze"
"02-core\components\FIN-COMP-003_Execution_Boundary_Controller.md","841","2440D0284BD61EA84D495593E392D958D15BF35ADEDA7BF745BD31737D79431A","FIN-ARCH-09","v0.1.0-architecture-freeze"
"02-core\components\FIN-COMP-004_Execution_Identity_Continuity_Adapter.md","838","8A303071AF2D2EB07A294610F62EE73B3DF75A6C4205D55B9754CB9D9EDDFF7B","FIN-ARCH-09","v0.1.0-architecture-freeze"
"02-core\components\FIN-COMP-005_Economic_Effect_Observer.md","854","66540979E1BA490987AF5D1CDED7D902CE33EB253B1ACB9E89587362BD3B3F3E","FIN-ARCH-09","v0.1.0-architecture-freeze"
"02-core\components\FIN-COMP-006_Partial_Effect_Detector.md","813","BCA086C47F1A830E7D8C1ECFB2E61E5F2636E8C3B4E58C5894733E5028B9BD1B","FIN-ARCH-09","v0.1.0-architecture-freeze"
"02-core\components\FIN-COMP-007_Settlement_State_Controller.md","848","E2BD1245A48D2BF96651806D4116DDD89C7EC1B08CEB278DFC451B7AD5DC1507","FIN-ARCH-09","v0.1.0-architecture-freeze"
"02-core\components\FIN-COMP-008_Containment_Controller.md","854","571E6D95C007D8DF63712AF088328453C6844FE21379646845566A8DCC64BFED","FIN-ARCH-09","v0.1.0-architecture-freeze"
"02-core\components\FIN-COMP-009_Compensation_Requirement_Classifier.md","856","CD064945C100A0C53188139CC23590BE290E314A7C59FF14F2FAD3605CF464E7","FIN-ARCH-09","v0.1.0-architecture-freeze"
"02-core\components\FIN-COMP-010_Compensation_Admission_Controller.md","839","FBF784B425C02DD944512DEA26D9F493EF03A68047952805D3E9F2FE6031C671","FIN-ARCH-09","v0.1.0-architecture-freeze"
