"proof_id","family","class","statement","result","evidence_type","artifact","runtime_required"
"F1-THM-EFF-001","EFFECT","THEOREM","[K=M* AND empty proper-subset M_econ proper-subset M*] implies C_F1=PARTIAL","PROVED","DEFINITIONAL-DERIVATION","04-settlement-integrity/proofs/F1_EFFECT_CLASSIFICATION_PROOFS.md","NO"
"F1-THM-EFF-002","EFFECT","THEOREM","[K=M* AND M_econ=empty] implies C_F1=NO-EFFECT","PROVED","DEFINITIONAL-DERIVATION","04-settlement-integrity/proofs/F1_EFFECT_CLASSIFICATION_PROOFS.md","NO"
"F1-THM-EFF-003","EFFECT","THEOREM","[K=M* AND M_econ=M*] implies C_F1=COMPLETED","PROVED","DEFINITIONAL-DERIVATION","04-settlement-integrity/proofs/F1_EFFECT_CLASSIFICATION_PROOFS.md","NO"
"F1-THM-EFF-004","EFFECT","SAFETY","Material incomplete knowledge prevents determinate NO-EFFECT/PARTIAL/COMPLETED classification","PROVED","FORMAL-DERIVATION","04-settlement-integrity/proofs/F1_EFFECT_CLASSIFICATION_PROOFS.md","NO"
"F1-THM-CMP-001","COMPENSATION","THEOREM","Compensation execution is distinct from originating execution","PROVED","DEFINITIONAL-DERIVATION","04-settlement-integrity/proofs/F1_COMPENSATION_PROOFS.md","NO"
"F1-NEQ-CMP-002","COMPENSATION","NON-EQUIVALENCE","Failure(e_0) does not imply Authority(e_c)","COUNTEREXAMPLE-DISCHARGED","CONSTRUCTIVE-COUNTEREXAMPLE","04-settlement-integrity/proofs/F1_COMPENSATION_PROOFS.md","NO"
"F1-SAFE-CMP-003","COMPENSATION","SAFETY","Compensation cannot cross consequential boundary without independent authority/admission","PARTIAL","RUNTIME-EVIDENCE-REQUIRED","04-settlement-integrity/proofs/F1_COMPENSATION_PROOFS.md","YES"
"F1-NEQ-CMP-004","COMPENSATION","NON-EQUIVALENCE","Economic restoration after compensation does not imply historical identity","COUNTEREXAMPLE-DISCHARGED","CONSTRUCTIVE-COUNTEREXAMPLE","04-settlement-integrity/proofs/F1_COMPENSATION_PROOFS.md","NO"
"F1-SAFE-CMP-005","COMPENSATION","SAFETY","Recursive compensation requires independent admission","PARTIAL","RUNTIME-EVIDENCE-REQUIRED","04-settlement-integrity/proofs/F1_COMPENSATION_PROOFS.md","YES"
"F1-THM-REV-001","REVERSAL","THEOREM","Reversal execution is distinct from originating execution","PROVED","DEFINITIONAL-DERIVATION","04-settlement-integrity/proofs/F1_REVERSAL_PROOFS.md","NO"
