"requirement","may_be_applicable","alone_sufficient_for_admit","unknown_behavior"
"ParticipationComplete","YES","NO","DEFER/BLOCK"
"AuthorityComplete","YES","NO","DEFER/BLOCK"
"CommitmentRequirementsSatisfied","YES","NO","DEFER/BLOCK"
"ConsensusRequirementSatisfied","YES","NO","DEFER/BLOCK"
"ScopeValid","YES","NO","REVALIDATE/BLOCK"
"TemporalValid","YES","NO","REVALIDATE/BLOCK"
"DependencyPreconditionsSatisfied","YES","NO","DEFER/BLOCK"
"OrderingPreconditionsSatisfied","YES","NO","DEFER/BLOCK"
"EvidencePreconditionsSatisfied","YES","NO","DEFER/RECONSTRUCT"
"NoUnresolvedBlockingConflict","YES","NO","DEFER/RECONSTRUCT/BLOCK"
