"repository","github_owner","visibility","relationship","financial_role","expected_local","local_exists","local_git","branch","head","dirty","origin"
"banking-reasoning-lab","ORYNTH-systems","PRIVATE","DIRECT-INHERITED","Canonical banking-domain financial reasoning and object/state implementation surface","C:\Users\18177\banking-reasoning-lab","False","False","","","",""
"settlement-demo","ORYNTH-systems","PRIVATE","EXECUTION-SUPPORT","Financial execution-governance demonstration using UAA/EIP enforcement flows","C:\Users\18177\settlement-demo","True","True","main","487d3006d33d3118101beb5a8ae99c3aa080f084","False","https://github.com/ORYNTH-systems/settlement-demo.git"
"runtime-enforcement-surface","ORYNTH-systems","PRIVATE","EXECUTION-SUPPORT","Runtime execution-boundary enforcement surface","C:\Users\18177\runtime-enforcement-surface","True","True","main","92cbbb2185e3875503775c70a79c59840233e1cc","False","https://github.com/ORYNTH-systems/runtime-enforcement-surface.git"
"constitutional-execution-engine","ORYNTH-systems","PRIVATE","EXECUTION-SUPPORT","Execution-engine surface containing banking settlement scenario validation","C:\Users\18177\constitutional-execution-engine","False","False","","","",""
"constitutional-reasoning-platform","ORYNTH-systems","PRIVATE","EXECUTION-SUPPORT","Reasoning-platform surface with banking adapter/demo lineage","C:\Users\18177\constitutional-reasoning-platform","False","False","","","",""
"constitutional-runtime-integration-lab","ORYNTH-systems","PRIVATE","DOMAIN-RELATED","Runtime integration research potentially relevant to financial execution composition","C:\Users\18177\constitutional-runtime-integration-lab","False","False","","","",""
"simulation-integrity-lab","ORYNTH-systems","PRIVATE","DOMAIN-RELATED","Simulation/admissibility/distributed execution research container","C:\Users\18177\simulation-integrity-lab","False","False","","","",""
"open-world-reasoning-lab","ORYNTH-systems","PRIVATE","DOMAIN-RELATED","Open-world reasoning research; no direct finance ownership assigned at baseline","C:\Users\18177\open-world-reasoning-lab","False","False","","","",""
"execution-assurance-foundation","ORYNTH-systems","PRIVATE","DOMAIN-RELATED","Execution-assurance foundation requiring later correspondence review","C:\Users\18177\execution-assurance-foundation","True","True","main","3c264be7689824f96877c200bda9968076a248cd","True","https://github.com/ORYNTH-systems/execution-assurance-foundation.git"
"cigcs-reference-lab","ORYNTH-systems","PUBLIC","DOMAIN-RELATED","Historical/container location in which a banking-lab copy was recovered; not canonical Banking Reasoning Lab owner","C:\Users\18177\cigcs-reference-lab","True","True","master","ac7ea251a6a045e920f8c26d79eb6bf0e719d7f3","True","https://github.com/ORYNTH-systems/cigcs-reference-lab.git"
