"object_id","name","category","owner","introduced_in"
"FIN-OBJ-001","FinancialExecutionEvent","execution","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-002","EconomicActor","actor","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-003","Principal","actor","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-004","AutonomousAgent","actor","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-005","Counterparty","actor","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-006","ClearingEntity","actor","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-007","Custodian","actor","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-008","FinancialResource","resource","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-009","Account","resource","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-010","Asset","resource","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-011","DigitalAsset","resource","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-012","Obligation","resource","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-013","SettlementObject","settlement","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-014","EconomicState","state","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-015","SettlementState","state","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-016","JurisdictionState","state","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-017","LedgerState","state","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-018","OracleState","state","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-019","EconomicEffect","effect","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-020","PartialEffect","effect","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-021","CompensationInstruction","execution","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-022","ReversalInstruction","execution","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-023","EvidenceObject","evidence","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-024","ProofOfBlockReference","evidence","proof-of-block","inherited"
"FIN-OBJ-025","AuthorityReference","authority","UAA","inherited"
"FIN-OBJ-026","AuthorizationArtifactReference","authority","UAA","inherited"
"FIN-OBJ-027","SmartContractReference","programmable","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-028","WalletReference","digital-asset","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-029","KeyReference","digital-asset","financial-infrastructure","FIN-ARCH-03"
"FIN-OBJ-030","ExecutionBoundary","execution","financial-infrastructure","FIN-ARCH-03"
