"dimension_id","name","dimension_type","example_unit","order_supported","f1_primary"
"F1-DIM-001","CASH","QUANTITATIVE","CurrencyUnit","YES","YES"
"F1-DIM-002","ASSET_OWNERSHIP","RELATIONAL","OwnershipRelation","NO","YES"
"F1-DIM-003","OBLIGATION","DISCRETE_STATE","ObligationState","DOMAIN_SPECIFIC","YES"
"F1-DIM-004","SETTLEMENT_OBLIGATION","DISCRETE_STATE","SettlementState","DOMAIN_SPECIFIC","YES"
"F1-DIM-005","LEDGER_STATE","ORDERED_SEQUENCE","LedgerStateReference","DOMAIN_SPECIFIC","SHARED_F4"
"F1-DIM-006","CUSTODY","RELATIONAL","CustodyRelation","NO","SHARED_F5"
"F1-DIM-007","COUNTERPARTY_STATE","DISCRETE_STATE","CounterpartyStateReference","DOMAIN_SPECIFIC","YES"
"F1-DIM-008","PARTY_COVERAGE","SET_VALUED","ActorSet","SUBSET","YES"
"F1-DIM-009","STATE_PROPAGATION","GRAPH_STATE","StateMutationGraph","SUBGRAPH","YES"
"F1-DIM-010","COLLATERAL","QUANTITATIVE","AssetQuantity","YES","YES"
