"symbol","object","owner","pass"
"S_d(t)","DistributedEconomicState","F2","FIN-F2-08"
"H_d(q_d)","DistributedEconomicStateHistory","F2","FIN-F2-08"
"CP_cont(q_d)","DistributedContinuityProfile","F2","FIN-F2-08"
"ContinuityPreserved_d(q_d,t)","DistributedContinuityPreservationPredicate","F2-SPECIALIZATION-OF-F1","FIN-F2-08"
"DistributedContinuityResult(q_d,t|CP_cont)","DistributedContinuityClassification","F2-SPECIALIZATION-OF-F1","FIN-F2-08"
"LocalContinuity(q_d,t,D_i)","DomainLocalContinuity","F2","FIN-F2-08"
"D_cont*","RequiredContinuityDomainSet","F2","FIN-F2-08"
"BreakEvent(b,q_d,t)","ContinuityBreakEvent","F2","FIN-F2-08"
"ReconstructionEvent(r,q_d,t)","DistributedReconstructionEvent","F2","FIN-F2-08"
"CurrentContinuity(q_d,t)","CurrentContinuityClassification","F2","FIN-F2-08"
"HistoricalContinuity(q_d,[t0,t1])","HistoricalContinuityClassification","F2","FIN-F2-08"
