"type_id","name","class"
"FIN-TYPE-001","FinancialObjectId","identifier"
"FIN-TYPE-002","ActorId","identifier"
"FIN-TYPE-003","PrincipalId","identifier"
"FIN-TYPE-004","AgentId","identifier"
"FIN-TYPE-005","AuthorityId","identifier"
"FIN-TYPE-006","AuthorizationArtifactId","identifier"
"FIN-TYPE-007","ExecutionEventId","identifier"
"FIN-TYPE-008","TransitionId","identifier"
"FIN-TYPE-009","SettlementId","identifier"
"FIN-TYPE-010","EvidenceId","identifier"
"FIN-TYPE-011","Timestamp","temporal"
"FIN-TYPE-012","MonetaryAmount","scalar"
"FIN-TYPE-013","CurrencyUnit","scalar"
"FIN-TYPE-014","Quantity","scalar"
"FIN-TYPE-015","Version","identity"
"FIN-TYPE-016","HashDigest","integrity"
"FIN-TYPE-017","Nonce","integrity"
