"state_id","state_name","family","f1_scope","status"
"FIN-ST-005","PARTIAL","effect","F1_PRIMARY_OR_SHARED","BOUNDARY_DEFINED"
"FIN-ST-007","INTERRUPTED","execution","F1_PRIMARY_OR_SHARED","BOUNDARY_DEFINED"
"FIN-ST-008","CONTAINED","control","F1_PRIMARY_OR_SHARED","BOUNDARY_DEFINED"
"FIN-ST-009","COMPENSATION_REQUIRED","resolution","F1_PRIMARY_OR_SHARED","BOUNDARY_DEFINED"
"FIN-ST-010","COMPENSATING","resolution","F1_PRIMARY_OR_SHARED","BOUNDARY_DEFINED"
"FIN-ST-011","COMPENSATED","resolution","F1_PRIMARY_OR_SHARED","BOUNDARY_DEFINED"
"FIN-ST-012","REVERSAL_REQUIRED","resolution","F1_PRIMARY_OR_SHARED","BOUNDARY_DEFINED"
"FIN-ST-013","REVERSING","resolution","F1_PRIMARY_OR_SHARED","BOUNDARY_DEFINED"
"FIN-ST-014","REVERSED","resolution","F1_PRIMARY_OR_SHARED","BOUNDARY_DEFINED"
"FIN-ST-015","RECONCILIATION_REQUIRED","reconciliation","F1_PRIMARY_OR_SHARED","BOUNDARY_DEFINED"
"FIN-ST-016","RECONCILING","reconciliation","F1_PRIMARY_OR_SHARED","BOUNDARY_DEFINED"
"FIN-ST-017","RECONCILED","reconciliation","F1_PRIMARY_OR_SHARED","BOUNDARY_DEFINED"
"FIN-ST-018","FINALITY_PENDING","classification","F1_ENTRY_TO_F3","BOUNDARY_DEFINED"
"FIN-ST-020","INDETERMINATE","exception","F1_PRIMARY_OR_SHARED","BOUNDARY_DEFINED"
